PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,
Q15629,TRAM1,0.018401667,0.033493276,0.02427333,0.002645448,0.267774211,0.2630815,0.272935441,0.264698518,0.202087588,0.021337498,0.264698518,-0.247418987,0.143412924,-37.30797607,9.42E-09,7.83E-06,11.21746171,"43,072",5.106244036,6,
Q13347,EIF3I,0.068217603,0.076496885,0.078680909,0.07982316,0.23279429,0.226130166,0.228840937,0.242090604,0.235015629,0.077588897,0.23279429,-0.15665936,0.154134319,-36.75820269,1.04E-08,7.83E-06,11.11977008,"36,502",5.106244036,24,
P49327,FASN,0.118242482,0.116853018,0.124440564,0.113622381,0.204893638,0.208140261,0.209887245,0.206984596,0.19800766,0.11754775,0.206984596,-0.089186824,0.162883023,-35.80805683,1.22E-08,7.83E-06,10.94671565,"273,427",5.106244036,144,
P11388,TOP2A,0.582189634,0.569495941,0.589538332,0.593243807,1.101689212,1.121458852,1.058320976,1.077900811,1.063645435,0.585863983,1.077900811,-0.506225534,0.836729696,-35.51346909,1.29E-08,7.83E-06,10.89194162,"174,385",5.106244036,55,
Q99805,TM9SF2,0.266855421,0.269323333,0.267623772,0.260948224,0.399844655,0.405185226,0.389803947,0.393549609,0.403908939,0.267239596,0.399844655,-0.130908172,0.331641773,-34.64806955,1.51E-08,7.83E-06,10.72785432,"75,776",5.106244036,12,
P52292,KPNA2,0.80138262,0.779491214,0.789924536,0.790309013,1.083908365,1.053544607,1.057659348,1.058756967,1.059738086,0.790116775,1.058756967,-0.273190476,0.926872084,-34.25921531,1.62E-08,7.83E-06,10.65253618,"57,862",5.106244036,27,
Q58FF8,HSP90AB2P,0.04843877,0.049271722,0.049876805,0.04327636,0.169901346,0.165595004,0.174510136,0.181597978,0.161610169,0.048855246,0.169901346,-0.125185202,0.110308515,-34.13555593,1.66E-08,7.83E-06,10.62837278,"44,349",5.106244036,2,
P60228,EIF3E,0.172818767,0.174870956,0.166179324,0.177210032,0.31804321,0.306165458,0.30296571,0.312765042,0.314658564,0.173844861,0.312765042,-0.137215085,0.241377312,-34.02381251,1.70E-08,7.83E-06,10.60644899,"52,221",5.106244036,21,
O75822,EIF3J,1.00E-07,0.006322473,1.00E-07,1.00E-07,0.097920003,0.10425134,0.109596281,0.108557435,0.102976075,1.00E-07,0.10425134,-0.103500571,0.053330979,-33.96830123,1.72E-08,7.83E-06,10.59552631,"29,062",5.106244036,14,
P04844,RPN2,0.047396246,0.048851936,0.047075986,0.044168884,0.120356829,0.11781104,0.125841301,0.117638976,0.108615013,0.047236116,0.11781104,-0.073538774,0.08364265,-33.93658874,1.73E-08,7.83E-06,10.58927698,"69,284",5.106244036,21,
Q7KZF4,SND1,0.114695421,0.121393345,0.125707033,0.115232673,0.214426493,0.218491572,0.21675204,0.213203381,0.205854632,0.118313009,0.214426493,-0.096461254,0.167487745,-33.77752537,1.78E-08,7.83E-06,10.55782779,"101,997",5.106244036,53,
P11142,HSPA8,0.089974653,0.075341963,0.094757769,0.085190487,0.28686657,0.292953469,0.278407507,0.300702242,0.28016916,0.08758257,0.28686657,-0.203416229,0.188024332,-33.33410284,1.94E-08,8.13E-06,10.46923179,"70,898",5.089769836,37,
Q92598,HSPH1,0.078090712,0.085192892,0.085140526,0.08747156,0.163175084,0.160894334,0.1667372,0.16647829,0.160633194,0.085166709,0.163175084,-0.080347305,0.124147575,-32.58974201,2.24E-08,8.29E-06,10.31736962,"96,865",5.081685912,46,
P51003,PAPOLA,1.00E-07,1.00E-07,1.00E-07,0.001736294,0.122985861,0.141452794,0.138575869,0.139427383,0.125973986,1.00E-07,0.138575869,-0.135176328,0.068022313,-32.37284659,2.33E-08,8.29E-06,10.27235932,"82,843",5.081685912,20,
P04792,HSPB1,0.061592679,0.058771238,0.072835359,0.077187423,0.378522608,0.414191331,0.411635955,0.424219318,0.416345129,0.067214019,0.414191331,-0.339545628,0.237369489,-32.30884023,2.36E-08,8.29E-06,10.25900984,"22,783",5.081685912,8,
Q14764,MVP,0.083197666,0.071710101,0.080316963,0.082664679,0.268252625,0.261896404,0.274290112,0.288202787,0.24969381,0.081490821,0.268252625,-0.19368813,0.176316417,-32.07617236,2.47E-08,8.29E-06,10.2102244,"99,327",5.081685912,54,
P54687,BCAT1,0.067889367,0.064083622,0.069222677,0.067091667,0.117721709,0.117646647,0.114347459,0.114426577,0.112851613,0.067490517,0.114426577,-0.048963764,0.091553715,-32.07067122,2.48E-08,8.29E-06,10.20906598,"42,966",5.081685912,18,
A6ZKI3,RTL8C,0.924465868,0.911166884,0.920543915,0.918876126,1.313022546,1.351960171,1.304712739,1.294733261,1.338227783,0.919710021,1.313022546,-0.397343981,1.117435189,-32.00594669,2.51E-08,8.29E-06,10.19541917,"13,171",5.081685912,2,
Q13045,FLII,0.21931872,0.219838696,0.206409599,0.222582828,0.396826591,0.390243606,0.384162005,0.404845734,0.399963438,0.219578708,0.396826591,-0.176982023,0.305528472,-31.7914959,2.62E-08,8.35E-06,10.14997476,"144,751",5.078276286,42,
Q8IV08,PLD3,0.587020037,0.58748311,0.584284373,0.628035191,0.951711148,0.974269085,0.970571203,0.951918851,0.981068285,0.587251573,0.970571203,-0.365411894,0.779411625,-31.29875859,2.89E-08,8.80E-06,10.04420735,"54,705",5.055378268,14,
Q14152,EIF3A,0.163574727,0.16549643,0.170646909,0.166956119,0.276826576,0.26410415,0.270488714,0.277226741,0.267582558,0.166226275,0.270488714,-0.105492999,0.219415046,-31.20258106,2.95E-08,8.80E-06,10.02333946,"166,569",5.055378268,87,
Q9UIW2,PLXNA1,0.695766419,0.704485181,0.669562539,0.679451941,0.954569018,0.94124244,0.958224407,0.961883365,1.004899896,0.68760918,0.958224407,-0.266663287,0.820648164,-30.3585492,3.52E-08,1.02E-05,9.836990602,"211,067",4.99312612,34,
P63244,RACK1,0.192232347,0.189505474,0.198348866,0.193674963,0.275710779,0.277431352,0.275779556,0.285174611,0.278467732,0.192953655,0.277431352,-0.085083662,0.235982244,-29.5077843,4.22E-08,1.18E-05,9.643092141,"35,077",4.92769969,24,
Q14008,CKAP5,0.232276336,0.233212992,0.22731115,0.225838159,0.327024364,0.315177336,0.318304836,0.322611546,0.32553876,0.229793743,0.322611546,-0.091119862,0.27521959,-29.29312181,4.42E-08,1.19E-05,9.593167918,"225,495",4.924000198,107,
Q8IXK0,PHC2,0.62248184,0.643634394,0.636364632,0.640469718,0.831226741,0.812502047,0.831147266,0.833374487,0.801008183,0.638417175,0.831147266,-0.191324989,0.73140014,-29.19793788,4.51E-08,1.19E-05,9.570898746,"90,713",4.924000198,11,
P98160,HSPG2,0.326465177,0.33153526,0.348801267,0.306125188,0.585376236,0.601819867,0.595099173,0.589281498,0.605905929,0.329000218,0.595099173,-0.264662471,0.460562958,-28.80080358,4.92E-08,1.26E-05,9.477095927,"468,830",4.898288715,87,
Q8IVP5,FUNDC1,0.429115684,0.437948994,0.450852888,0.442179536,0.638001814,0.658239064,0.669054397,0.652606852,0.623943924,0.440064265,0.652606852,-0.214451256,0.547249904,-28.03555537,5.84E-08,1.44E-05,9.292186176,"17,178",4.841048102,1,
P63261,ACTG1,0.018243685,0.015325093,0.010313233,0.016946208,0.094384965,0.088410638,0.090047358,0.098118987,0.087553613,0.016135651,0.090047358,-0.077533432,0.053973771,-27.9736238,5.93E-08,1.44E-05,9.276975438,"41,793",4.841048102,3,
Q96Q45,TMEM237,1.00E-07,1.00E-07,0.04461627,1.00E-07,0.521349268,0.509164883,0.582200739,0.555953951,0.360413155,1.00E-07,0.521349268,-0.531013067,0.276660676,-27.43320608,6.71E-08,1.59E-05,9.142634727,"45,526",4.798310683,3,
Q9NSI2,FAM207A,0.468934843,0.417829987,0.442782243,0.420130651,1.021244301,0.944195919,0.970685594,0.957898973,0.981860101,0.431456447,0.970685594,-0.536086766,0.705462814,-26.9075827,7.59E-08,1.75E-05,9.009126756,"25,456",4.755751265,8,
P09936,UCHL1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.034432864,0.037176175,0.039115303,0.033699521,0.033487792,1.00E-07,0.034432864,-0.036105866,0.018053033,-26.61930524,8.13E-08,1.80E-05,8.934675849,"24,824",4.74370368,16,
Q32P28,P3H1,0.00177696,1.00E-07,1.00E-07,1.00E-07,0.136252929,0.152385752,0.127192736,0.1350373,0.13563597,1.00E-07,0.13563597,-0.137272864,0.069080747,-26.58637302,8.20E-08,1.80E-05,8.926114247,"83,394",4.74370368,27,
P52732,KIF11,0.576219634,0.599914417,0.587249964,0.586635561,0.922755864,0.893041179,0.901927288,0.946298039,0.960334399,0.586942763,0.922755864,-0.328500698,0.751755243,-26.48809529,8.39E-08,1.80E-05,8.900494818,"119,159",4.743674652,39,
P60842,EIF4A1,0.168698921,0.167103155,0.17381719,0.180182548,0.306909388,0.303335358,0.28994977,0.307702247,0.304344072,0.171258056,0.304344072,-0.129523737,0.237212322,-26.24949584,8.89E-08,1.87E-05,8.837858557,"46,154",4.728621713,21,
O75534,CSDE1,0.477263067,0.491364086,0.494424516,0.530966371,0.879446489,0.865216488,0.851068457,0.839116386,0.849707933,0.492894301,0.851068457,-0.360207445,0.678608232,-25.86156124,9.77E-08,2.01E-05,8.734674432,"88,885",4.69719222,40,
P05387,RPLP2,0.089119638,0.079273185,0.082148935,0.095518797,0.185522852,0.179536062,0.186688771,0.184819312,0.186209413,0.085634286,0.185522852,-0.097626611,0.135328444,-25.10453395,1.18E-07,2.37E-05,8.528359237,"11,665",4.624889635,8,
P23284,PPIB,0.038615287,0.04394737,0.041114476,0.037658366,0.094193555,0.09878942,0.097862206,0.091507425,0.096520927,0.039864882,0.096520927,-0.055254277,0.067961013,-25.02266287,1.21E-07,2.37E-05,8.505641847,"23,743",4.624889635,17,
Q12756,KIF1A,0.632453384,0.660262065,0.626194104,0.634944398,0.923543951,0.93383036,0.899123275,0.899527548,0.933687506,0.633698891,0.923543951,-0.275542796,0.776234885,-24.73468024,1.30E-07,2.50E-05,8.42508772,"191,064",4.60203558,37,
P38646,HSPA9,0.03244701,0.030533203,0.028075044,0.03245721,0.104011321,0.102322762,0.099959352,0.113122565,0.096882232,0.031490106,0.102322762,-0.073975883,0.067866058,-24.48940688,1.38E-07,2.61E-05,8.35567534,"73,680",4.583448643,46,
P60059,SEC61G,0.261678769,0.260590922,0.254969647,0.253416757,0.327317102,0.326758992,0.327598431,0.336195149,0.315337793,0.257780284,0.327317102,-0.071803395,0.293565721,-23.94203648,1.60E-07,2.95E-05,8.198025535,"7,741",4.529769328,1,
O95782,AP2A1,0.064684848,0.068601573,0.068693198,0.062513937,0.116930859,0.116595881,0.115640582,0.111159725,0.131695784,0.066643211,0.116595881,-0.048958373,0.090602575,-23.85874592,1.63E-07,2.96E-05,8.173697035,"107,546",4.528743748,34,
P29692,EEF1D,0.105305109,0.119281905,0.110108195,0.109846689,0.186763345,0.187008941,0.18275266,0.189472227,0.162299003,0.109977442,0.186763345,-0.075363819,0.148817384,-23.58906681,1.75E-07,3.12E-05,8.094295809,"31,122",4.505783001,22,
P13639,EEF2,0.17508982,0.173997978,0.173838668,0.178008298,0.279955408,0.300859336,0.295083942,0.302601167,0.29209958,0.174543899,0.295083942,-0.119391272,0.234929327,-23.41691682,1.84E-07,3.21E-05,8.043099444,"95,338",4.493830731,72,
P50991,CCT4,0.102323869,0.101299073,0.102449002,0.101413298,0.194620086,0.190548558,0.178557598,0.194950921,0.191247769,0.101868584,0.191247769,-0.08779798,0.145770301,-23.28935726,1.90E-07,3.25E-05,8.004903537,"57,924",4.487870572,37,
O15371,EIF3D,0.121231383,0.1045719,0.113905614,0.120743914,0.23276291,0.239302358,0.225945303,0.242085722,0.242311407,0.117324764,0.239302358,-0.11991087,0.175068638,-23.23065866,1.93E-07,3.25E-05,7.987251869,"63,973",4.487870572,28,
Q92791,P3H4,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.124400803,0.136545655,0.154632007,0.14001151,0.170756556,1.00E-07,0.14001151,-0.138897394,0.069448797,-22.97906607,2.07E-07,3.33E-05,7.911050433,"50,381",4.477875715,12,
Q92839,HAS1,0.114520188,0.123905403,0.125589789,0.119495162,0.207460774,0.198396972,0.195898531,0.199300032,0.200660681,0.121700282,0.199300032,-0.079386442,0.160570856,-22.9424853,2.09E-07,3.33E-05,7.899896941,"64,832",4.477875715,1,
P46379,BAG6,0.415264374,0.41431496,0.398281841,0.441069788,0.670103754,0.643326805,0.65787156,0.670938192,0.655467843,0.414789667,0.65787156,-0.243327337,0.538896409,-22.92209185,2.11E-07,3.33E-05,7.893670738,"119,409",4.477875715,35,
Q7L2E3,DHX30,0.194201601,0.185031075,0.192574919,0.192979533,0.288618394,0.285251166,0.29421134,0.303819937,0.298093716,0.192777226,0.29421134,-0.101778427,0.242085996,-22.85535734,2.15E-07,3.33E-05,7.873255104,"133,938",4.477875715,63,
Q6ZVM7,TOM1L2,0.118259871,0.098508384,0.080398821,0.082507222,0.316400064,0.337239157,0.345804025,0.3398167,0.22479493,0.090507803,0.337239157,-0.239896412,0.214866781,-22.83193799,2.16E-07,3.33E-05,7.866075535,"55,556",4.477875715,11,
Q13501,SQSTM1,0.857765624,0.854184971,0.94098061,0.747245762,2.436879138,2.468309994,2.247436154,2.274032812,2.254863231,0.855975298,2.274032812,-1.506620283,1.603354383,-22.70226786,2.24E-07,3.36E-05,7.826180772,"47,687",4.474264196,10,
P53618,COPB1,0.075906811,0.071317738,0.073280616,0.082673842,0.178409737,0.168593407,0.178315646,0.187753375,0.170695066,0.074593714,0.178315646,-0.102473289,0.127031397,-22.6847005,2.25E-07,3.36E-05,7.820757303,"107,142",4.474264196,52,
Q9NPH2,ISYNA1,0.078678647,0.081928815,0.075811167,0.077635289,0.131323599,0.135659585,0.138482515,0.141992312,0.127476914,0.078156968,0.135659585,-0.058351023,0.107688991,-22.5948481,2.31E-07,3.38E-05,7.792947713,"61,068",4.470888687,21,
P30153,PPP2R1A,0.200206567,0.19411399,0.200083126,0.198824148,0.282400907,0.283537761,0.29092465,0.299147571,0.306997852,0.199453637,0.29092465,-0.090695765,0.24365484,-22.45756954,2.40E-07,3.38E-05,7.750231989,"65,309",4.470888687,30,
Q96T88,UHRF1,0.883588703,0.894254088,0.91592402,0.901301957,1.302390334,1.233765137,1.251723928,1.285866185,1.262112031,0.897778023,1.262112031,-0.369669204,1.083601794,-22.41338134,2.43E-07,3.38E-05,7.736423377,"89,814",4.470888687,21,
P46781,RPS9,0.128243443,0.129909346,0.13453285,0.13233284,0.185468876,0.18085017,0.178191463,0.18558983,0.174224141,0.131121093,0.18085017,-0.051270465,0.156889852,-22.40435539,2.43E-07,3.38E-05,7.73359926,"22,591",4.470888687,13,
P36873,PPP1CC,0.460575865,0.470258079,0.468994344,0.461108072,0.657933608,0.636348793,0.625624138,0.656089989,0.631735106,0.465051208,0.636348793,-0.178765042,0.554616611,-22.38201145,2.45E-07,3.38E-05,7.726602894,"36,984",4.470888687,6,
O75643,SNRNP200,0.176507845,0.180331123,0.179316136,0.177968511,0.292288278,0.281975757,0.287061019,0.306169926,0.288506791,0.178642323,0.288506791,-0.113342841,0.235202324,-22.07039231,2.68E-07,3.64E-05,7.628249961,"244,508",4.438655403,123,
P47897,QARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.104922843,0.193532526,-21.99296178,2.74E-07,3.66E-05,7.603583506,"87,799",4.436639504,NA,
Q01581,HMGCS1,0.59593199,0.560767096,0.61976798,0.613747843,0.880498371,0.882057498,0.885742933,0.892920275,0.859614103,0.604839917,0.882057498,-0.287751042,0.741429248,-21.94688072,2.78E-07,3.66E-05,7.588860223,"57,294",4.436639504,29,
Q92614,MYO18A,0.10137886,0.095149792,0.099307654,0.100146858,0.168823072,0.175684925,0.184218257,0.172546015,0.188016888,0.099727256,0.175684925,-0.076322276,0.137156929,-21.90479911,2.81E-07,3.66E-05,7.575386255,"233,115",4.436639504,97,
Q07954,LRP1,0.334421251,0.342246447,0.356431033,0.357439207,0.499698223,0.488827373,0.505962495,0.489055141,0.505965202,0.34933874,0.499698223,-0.148251324,0.421760146,-21.79194112,2.90E-07,3.71E-05,7.539115332,"504,606",4.431081266,121,
Q04637,EIF4G1,0.105213789,0.107409298,0.105904473,0.094438253,0.185687224,0.196133172,0.195590244,0.200266087,0.207305687,0.105559131,0.196133172,-0.091177728,0.148830318,-21.76521895,2.93E-07,3.71E-05,7.530498202,"175,491",4.431081266,55,
Q8IYM9,TRIM22,0.18125721,0.198822067,0.210128707,0.169170302,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.190039638,1.00E-07,0.189844471,0.094922336,21.53797617,3.13E-07,3.86E-05,7.456765377,"56,947",4.413489847,8,
O94906,PRPF6,0.100410024,0.089286012,0.078455915,0.072842902,0.214619975,0.223462663,0.220380993,0.224273583,0.214048209,0.083870963,0.220380993,-0.13543559,0.152966508,-21.52587008,3.14E-07,3.86E-05,7.452814401,"106,925",4.413489847,42,
O60231,DHX16,0.138358289,0.153647989,0.140058657,0.138241044,0.254319393,0.258292535,0.271758266,0.253762569,0.261478134,0.139208473,0.258292535,-0.116956696,0.201054843,-21.45244523,3.21E-07,3.86E-05,7.428801089,"119,264",4.413489847,36,
Q9NV06,DCAF13,0.320505197,0.359083562,0.31923837,0.305068198,0.663705287,0.676689703,0.709188652,0.720454567,0.696934405,0.319871783,0.696934405,-0.366535721,0.509241692,-21.4457054,3.21E-07,3.86E-05,7.426592524,"51,402",4.413489847,13,
P31948,STIP1,1.00E-07,1.00E-07,0.005205956,1.00E-07,0.050362334,0.048868063,0.042743558,0.049508979,1.00E-07,1.00E-07,0.048868063,-0.04656917,0.024586149,-21.31094699,3.35E-07,3.97E-05,7.382280028,"62,639",4.401725073,56,
Q03001,DST,0.101408121,0.105941863,0.111880899,0.097295121,0.196481458,0.205572033,0.214727881,0.210049526,0.190552212,0.103674992,0.205572033,-0.102576223,0.155419613,-21.09698929,3.57E-07,4.12E-05,7.311316758,"860,662",4.384881697,275,
Q96GA3,LTV1,0.311752068,0.317632985,0.315603436,0.30482014,0.497743178,0.525529286,0.520364073,0.487145252,0.510363239,0.313677752,0.510363239,-0.19524329,0.410073802,-21.09667501,3.57E-07,4.12E-05,7.311211969,"54,855",4.384881697,12,
P42704,LRPPRC,0.094076179,0.097344041,0.103175393,0.099125505,0.151260796,0.155389492,0.15938481,0.160176888,0.143950617,0.098234773,0.155389492,-0.058122717,0.127491638,-20.99076377,3.68E-07,4.17E-05,7.275804242,"157,905",4.379677601,101,
P26373,RPL13,0.118782875,0.109642891,0.121725626,0.118410248,0.176298018,0.18089086,0.175730917,0.180744702,0.143442081,0.118596561,0.176298018,-0.061275714,0.147778267,-20.97502546,3.70E-07,4.17E-05,7.27052673,"24,261",4.379677601,13,
Q92616,GCN1,0.035480329,0.031844349,0.031022489,0.032047189,0.065962502,0.066522142,0.063032118,0.062218321,0.063966812,0.031945769,0.063966812,-0.031835181,0.04851618,-20.80616063,3.89E-07,4.34E-05,7.213639344,"292,758",4.362681953,148,
Q9UH62,ARMCX3,0.256871273,0.251670867,0.25296544,0.24099397,0.344455143,0.331736419,0.336978573,0.336615627,0.314905508,0.252318153,0.336615627,-0.086821053,0.294035914,-20.70741661,4.01E-07,4.42E-05,7.180150301,"42,501",4.354784934,14,
P00403,MT-CO2,0.026397767,0.02679383,0.027225545,0.0223735,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.026595799,1.00E-07,0.025697561,0.01284888,20.63725253,4.10E-07,4.46E-05,7.156252653,"25,565",4.350580412,8,
Q16531,DDB1,0.302641526,0.316209204,0.320650692,0.311318975,0.441867112,0.461879211,0.453156807,0.470514547,0.457393742,0.31376409,0.457393742,-0.14414932,0.384779759,-20.5254245,4.24E-07,4.56E-05,7.117988651,"126,968",4.340703006,53,
Q9UKM7,MAN1B1,0.152370364,0.141666726,0.160531435,0.159725015,0.314460597,0.301259661,0.292670982,0.287497744,0.251706026,0.156047689,0.292670982,-0.145398861,0.226272816,-20.42766118,4.38E-07,4.65E-05,7.084358697,"79,580",4.332582882,12,
P53396,ACLY,0.25546711,0.26151751,0.270443462,0.261713052,0.346267323,0.338516088,0.348254157,0.352248068,0.334674693,0.261615281,0.346267323,-0.084036125,0.304303346,-20.37208136,4.45E-07,4.68E-05,7.065164779,"120,839",4.330048181,64,
Q9UBB4,ATXN10,0.402631659,0.395696533,0.397582115,0.39822517,0.595349162,0.555603297,0.56346667,0.581006576,0.549428922,0.397903642,0.56346667,-0.175322557,0.486195148,-20.02310672,4.97E-07,5.16E-05,6.943391554,"53,489",4.287416544,29,
Q7L2H7,EIF3M,0.147824111,0.142893333,0.145269825,0.133318713,0.217134655,0.217804945,0.227585741,0.224331761,0.221022392,0.144081579,0.221022392,-0.07938778,0.182020385,-19.98176087,5.03E-07,5.17E-05,6.928818274,"42,503",4.286583418,17,
P06576,ATP5F1B,0.016976199,0.016461339,0.01925133,0.015902631,0.048976878,0.045196817,0.045586611,0.05026318,0.043187556,0.016718769,0.045586611,-0.030357997,0.032326873,-19.8324065,5.28E-07,5.36E-05,6.875913286,"56,560",4.270748298,35,
Q14444,CAPRIN1,0.217928194,0.23889418,0.20559721,0.226228424,0.455611015,0.461203269,0.458558726,0.420470742,0.485166872,0.222078309,0.458558726,-0.226798936,0.33556147,-19.76422222,5.39E-07,5.42E-05,6.85162338,"78,366",4.266024503,17,
Q9NV31,IMP3,0.182429407,0.187097338,0.185319318,0.179663877,0.320221217,0.318270127,0.293729365,0.321499818,0.308315212,0.183874363,0.318270127,-0.129802647,0.248528808,-19.66524677,5.57E-07,5.53E-05,6.816209718,"21,850",4.256916125,7,
Q13614,MTMR2,0.209898785,0.173711369,0.175108561,0.159987788,0.385207302,0.406673701,0.400559252,0.400162443,0.428440125,0.174409965,0.400559252,-0.218474049,0.28891365,-19.50089069,5.87E-07,5.77E-05,6.756993722,"73,381",4.238489558,16,
P46013,MKI67,0.476136426,0.488857118,0.498913082,0.502414435,0.743122047,0.776583153,0.736153998,0.717948434,0.684648832,0.4938851,0.736153998,-0.251871643,0.617516087,-19.14496196,6.60E-07,6.42E-05,6.626971304,"358,694",4.19246803,111,
O43663,PRC1,0.594656378,0.560871862,0.500727863,0.540648993,1.421304884,1.241024072,1.351211158,1.306918466,1.196287074,0.550760428,1.306918466,-0.780888371,0.93967046,-18.92728591,7.09E-07,6.83E-05,6.546221381,"71,607",4.165607853,14,
P23526,AHCY,0.105033721,0.102238197,0.109992141,0.098892309,0.168457942,0.166809821,0.166032674,0.177770498,0.166820413,0.103635959,0.166820413,-0.065728642,0.136903413,-18.65559723,7.77E-07,7.41E-05,6.444086801,"47,716",4.13041251,29,
Q9NRR5,UBQLN4,0.416691181,0.517916311,0.474775428,0.429031648,0.038589089,1.00E-07,0.003502725,1.00E-07,0.123966017,0.451903538,0.003502725,0.449080638,0.235063323,18.62294282,7.86E-07,7.41E-05,6.431708709,"63,853",4.130058151,8,
P18615,NELFE,0.267195158,0.259783874,0.245027177,0.263231798,0.38824817,0.367495092,0.384793344,0.386792769,0.388579807,0.261507836,0.386792769,-0.123022842,0.320320923,-18.53835757,8.09E-07,7.55E-05,6.399541959,"43,240",4.121973161,20,
P28370,SMARCA1,0.198515843,0.205070761,0.231737879,0.195101686,0.399425142,0.441041641,0.421541927,0.420017554,0.395204341,0.201793302,0.420017554,-0.212900024,0.314056554,-18.50676567,8.17E-07,7.56E-05,6.387489417,"122,605",4.121657363,35,
P02649,APOE,0.71186649,0.668043122,0.712351311,0.751781296,1.108152506,1.136350525,1.143244639,1.191375637,1.154791637,0.712108901,1.143244639,-0.433770272,0.927895691,-18.44819703,8.34E-07,7.58E-05,6.365089311,"36,154",4.120101955,20,
Q96T58,SPEN,0.446324694,0.438298695,0.427182266,0.444894068,0.662599288,0.722349575,0.719321451,0.692716154,0.705143856,0.441596382,0.705143856,-0.260071686,0.569210774,-18.43839923,8.37E-07,7.58E-05,6.361334958,"402,248",4.120101955,50,
P06744,GPI,0.08689774,0.093555172,0.081852924,0.086382994,0.170242761,0.174749345,0.178521338,0.159878939,0.180635772,0.086640367,0.174749345,-0.083675888,0.129010152,-18.2731645,8.86E-07,7.89E-05,6.297711071,"63,147",4.103095732,32,
