,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000147180.16,658.5266837,-0.3626772,0.007175299,0.028767372,ZNF711,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000165868.14,954.4854395,-0.362727282,0.004154667,0.018133734,HSPA12A,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000089818.18,757.4231191,-0.363541762,0.002491498,0.011603802,NECAP1,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000154144.13,327.4493582,-0.364890255,0.004344948,0.018824931,TBRG1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000163637.13,643.8659617,-0.365170295,0.007852562,0.031050343,PRICKLE2,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000141441.16,465.9282048,-0.365592449,0.009070703,0.034899981,GAREM1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000177733.7,528.9760817,-0.365641854,0.001777549,0.008611029,HNRNPA0,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000138459.9,235.8596951,-0.366815377,0.007708305,0.030566884,SLC35A5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000132640.15,606.225514,-0.367796656,0.001243578,0.006283859,BTBD3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000176749.9,377.5623876,-0.367830848,0.00345722,0.015425753,CDK5R1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000106524.9,232.538205,-0.368466718,0.007875917,0.031116463,ANKMY2,#N/A,#N/A,#N/A,#N/A,yes,#N/A,yes
ENSG00000171385.9,488.8049887,-0.36911721,0.005969419,0.024648072,KCND3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000253352.9,994.9442137,-0.369380501,0.002428912,0.011343287,TUG1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000168283.14,338.8209738,-0.369641705,0.003762877,0.016611812,BMI1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000253719.4,1345.63716,-0.3697153,0.001461587,0.007256416,ATXN7L3B,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000112739.17,639.6944057,-0.370607185,0.001078485,0.005530052,PRPF4B,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000135821.18,185.709453,-0.371735149,0.012246956,0.044731486,GLUL,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000166685.12,194.2553181,-0.372055126,0.011836338,0.043506947,COG1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000143494.15,302.2478657,-0.373337768,0.004491416,0.01936562,VASH2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000119661.15,216.0659994,-0.373903082,0.007422095,0.029629169,DNAL1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000155961.5,436.152201,-0.374479541,0.001255881,0.006339202,RAB39B,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000152578.13,1122.253331,-0.374566606,0.002437875,0.011380892,GRIA4,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000149658.18,196.7120807,-0.37475858,0.009013307,0.034719091,YTHDF1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000100266.19,427.2539181,-0.37489546,0.00389291,0.017121413,PACSIN2,#N/A,#N/A,yes,#N/A,yes,yes,yes
ENSG00000162702.8,312.1128401,-0.374987319,0.004172886,0.018199215,ZNF281,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000161082.13,516.5986409,-0.375331275,0.011321265,0.041900962,CELF5,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000163812.15,247.3647239,-0.375609613,0.011967642,0.043890708,ZDHHC3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000127990.19,338.3177508,-0.375810735,0.006348589,0.026004823,SGCE,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000047315.16,755.1158886,-0.376114853,0.001586167,0.007789489,POLR2B,#N/A,#N/A,#N/A,yes,yes,yes,yes
ENSG00000115548.17,791.8992086,-0.376142428,0.012122814,0.044368742,KDM3A,#N/A,yes,#N/A,yes,#N/A,yes,#N/A
ENSG00000108312.15,401.8771277,-0.376571092,0.011571944,0.042681423,UBTF,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000170396.8,351.4868463,-0.377096761,0.0056621,0.0235946,ZNF804A,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000181852.18,376.5588909,-0.377936446,0.001247707,0.006301331,RNF41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000119953.13,187.5064129,-0.38080059,0.006651677,0.027045591,SMNDC1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000102934.10,248.6607386,-0.38122885,0.010155807,0.038274479,PLLP,#N/A,yes,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000204442.4,394.5033963,-0.38304491,0.005393488,0.022636122,FAM155A,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000254726.3,419.4014605,-0.383675556,0.012380647,0.045110029,MEX3A,#N/A,#N/A,#N/A,yes,yes,yes,yes
ENSG00000168772.11,430.9659198,-0.383764583,0.001417383,0.007061324,CXXC4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000006451.8,372.3326688,-0.384376644,0.002858647,0.013068846,RALA,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000141068.14,220.8046711,-0.385837129,0.013081005,0.047171812,KSR1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000140538.16,273.924574,-0.386816031,0.003020981,0.013690905,NTRK3,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000189060.5,649.0763655,-0.388986299,0.010059187,0.037971358,H1F0,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000132475.10,1031.934502,-0.389580902,0.000493186,0.002736365,H3F3B,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000066654.14,371.1672842,-0.389646209,0.007143111,0.028655673,THUMPD1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000108984.15,292.3957429,-0.390836215,0.003586806,0.015937634,MAP2K6,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000214413.8,202.8559105,-0.391125764,0.011737659,0.043199234,BBIP1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000125851.10,337.9522486,-0.391552657,0.003767992,0.016628525,PCSK2,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000102931.8,236.073001,-0.392246905,0.009427274,0.036028122,ARL2BP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000067533.6,253.7767358,-0.392395867,0.002556364,0.011855452,RRP15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000162433.15,254.2934902,-0.392743553,0.012299967,0.044885791,AK4,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000165566.12,434.0223425,-0.393423404,0.005028587,0.021321639,AMER2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000070495.14,228.6745113,-0.393500641,0.006903634,0.027834819,JMJD6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000103160.12,441.5790203,-0.393679633,0.001063088,0.005460802,HSDL1,#N/A,#N/A,#N/A,yes,yes,#N/A,yes
ENSG00000134152.11,166.1645091,-0.394124983,0.009390716,0.035907832,KATNBL1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,#N/A
ENSG00000221818.9,667.4004056,-0.394284361,0.002726792,0.01254244,EBF2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000243335.9,297.1472446,-0.398754426,0.004808054,0.020518703,KCTD7,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000102471.14,311.6958677,-0.399104726,0.001758911,0.008532855,NDFIP2,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000178662.16,1072.394127,-0.399342863,0.001762459,0.008547858,CSRNP3,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000125863.20,157.5353592,-0.399603151,0.013523331,0.04845032,MKKS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000077458.13,212.5732284,-0.399633954,0.007955352,0.031367556,FAM76B,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000171617.14,674.3348631,-0.400019975,0.002409771,0.011270726,ENC1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000006831.10,200.3475197,-0.400584809,0.006130137,0.025228416,ADIPOR2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000088247.17,496.3593311,-0.400614621,0.003836776,0.016904245,KHSRP,#N/A,yes,#N/A,yes,yes,#N/A,yes
ENSG00000104331.9,582.3144829,-0.40114344,0.00097336,0.005051053,IMPAD1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000115758.13,500.4904701,-0.401466058,0.00024321,0.001431938,ODC1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000136527.18,829.1126909,-0.401978705,0.001595485,0.007830126,TRA2B,#N/A,yes,#N/A,yes,#N/A,yes,#N/A
ENSG00000189241.7,452.9128575,-0.402186106,0.000860117,0.004512066,TSPYL1,yes,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000111530.13,1077.589254,-0.402242569,0.000354119,0.002023096,CAND1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000046653.15,262.7677775,-0.402352257,0.003757789,0.016595208,GPM6B,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000005893.15,193.5135184,-0.402419349,0.008927857,0.034452806,LAMP2,yes,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000187189.11,979.2402868,-0.403446111,0.000522306,0.002874978,TSPYL4,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000153815.16,1069.320407,-0.403703611,0.001158898,0.005897257,CMIP,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000163806.16,537.853264,-0.404077497,0.000555497,0.003037187,SPDYA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000116983.13,282.0004614,-0.404405949,0.002168096,0.010271414,HPCAL4,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000196132.14,316.649183,-0.40627041,0.005612839,0.023425739,MYT1,#N/A,#N/A,#N/A,yes,yes,#N/A,yes
ENSG00000285976.2,1335.408583,-0.406321846,0.001000584,0.005173016,AL135905.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000163684.11,148.3124137,-0.406560616,0.005739266,0.023876392,RPP14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000143624.14,269.482756,-0.407426784,0.011765014,0.043287178,INTS3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000126945.9,312.844844,-0.40748193,0.002325396,0.010920616,HNRNPH2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000224086.6,127.3721357,-0.407488811,0.01219021,0.044567599,AC245452.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213639.10,1744.795744,-0.408869902,0.000267411,0.001558578,PPP1CB,yes,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000112245.12,1313.643189,-0.408925327,0.000739376,0.003938684,PTP4A1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000132694.18,328.7770889,-0.409261741,0.00339974,0.015201818,ARHGEF11,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000176593.8,257.0498617,-0.410099485,0.00501399,0.021266955,AC008969.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000151458.12,1063.057872,-0.410224421,0.001967906,0.009416494,ANKRD50,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000113621.14,304.2647308,-0.410366253,0.001891323,0.009090606,TXNDC15,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000169926.11,271.128861,-0.411512938,0.005345225,0.022481335,KLF13,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000115875.19,454.1882557,-0.412512199,0.000866008,0.004540431,SRSF7,yes,#N/A,yes,#N/A,#N/A,yes,#N/A
ENSG00000183291.17,268.6912677,-0.412787012,0.004963974,0.021078635,SELENOF,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000151247.12,545.88432,-0.412810242,0.003290463,0.014764204,EIF4E,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000133313.15,182.7001417,-0.412975768,0.013833035,0.049323941,CNDP2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000169018.6,943.5148769,-0.412996275,5.71E-05,0.00037565,FEM1B,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000198743.7,559.3499744,-0.413486122,0.007670708,0.030449969,SLC5A3,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000124160.12,226.4710294,-0.413916625,0.002495379,0.011616111,NCOA5,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000184226.15,2543.726274,-0.415399737,0.008907788,0.034393043,PCDH9,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000167552.14,7138.476158,-0.415952839,0.007584492,0.030177968,TUBA1A,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000154080.14,142.6889771,-0.417925175,0.011074054,0.041119834,CHST9,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000236283.5,141.4132661,-0.418559751,0.007790135,0.030839239,AC019197.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000160294.11,421.4490725,-0.418632734,0.003510462,0.015633574,MCM3AP,#N/A,#N/A,#N/A,yes,yes,#N/A,yes
ENSG00000063978.16,191.1821678,-0.419298619,0.003252639,0.01461995,RNF4,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000174437.17,2155.502192,-0.420015911,1.83E-05,0.000128727,ATP2A2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000136450.13,678.3607483,-0.42011118,0.001897741,0.009117951,SRSF1,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000153879.9,801.5729163,-0.421511014,0.002117477,0.010053996,CEBPG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000085377.14,223.3546491,-0.421889026,0.001529127,0.007547925,PREP,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000169302.16,182.0042667,-0.421931609,0.002878796,0.013144947,STK32A,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000136504.12,235.5044199,-0.421945801,0.001773638,0.008597631,KAT7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000273079.5,859.6215106,-0.42262651,0.000614871,0.003330761,GRIN2B,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000100105.18,113.6438696,-0.422944024,0.013737343,0.049063487,PATZ1,#N/A,#N/A,#N/A,yes,yes,yes,yes
ENSG00000108654.15,3510.46964,-0.423241348,0.000141369,0.000869034,DDX5,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000288473.1,158.8749284,-0.423362016,0.012147396,0.044443677,AL669830.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000016864.18,143.1144699,-0.423443804,0.00810514,0.031847742,GLT8D1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000173276.14,259.5648626,-0.42374436,0.003611704,0.016034976,ZBTB21,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000171503.12,114.1765625,-0.423971698,0.013978988,0.049734194,ETFDH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000205269.6,624.9960024,-0.42439157,0.000100082,0.000631466,TMEM170B,#N/A,yes,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000163320.11,574.3602286,-0.424724595,0.000232395,0.00137477,CGGBP1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000118432.12,1455.940584,-0.424784465,0.00027897,0.001619655,CNR1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000033030.14,160.4557702,-0.425132819,0.00853456,0.033195634,ZCCHC8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000280046.1,222.8091194,-0.426554938,0.011088811,0.041154272,AC104581.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198315.11,276.2413049,-0.426924845,0.005646453,0.023534622,ZKSCAN8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000123570.4,137.8072957,-0.427001812,0.006556245,0.026706752,RAB9B,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000215424.10,220.9976478,-0.427108261,0.007510296,0.029936688,MCM3AP-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000106692.14,157.6141213,-0.427306617,0.006877782,0.02774549,FKTN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000120694.20,970.0698132,-0.427875897,0.000104223,0.000655062,HSPH1,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000129315.11,321.9522413,-0.428319949,0.001854004,0.008936416,CCNT1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000120784.16,208.6307987,-0.428399838,0.003858206,0.016986698,ZFP30,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000138442.9,211.5528979,-0.428515483,0.002602715,0.012032188,WDR12,#N/A,#N/A,#N/A,#N/A,yes,#N/A,yes
ENSG00000265794.5,195.8287073,-0.429107471,0.006510403,0.026551717,AC005899.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000228794.9,503.1848115,-0.430088328,0.001245166,0.00629019,LINC01128,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213160.10,340.1098214,-0.430997667,0.000428919,0.002409714,KLHL23,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000162377.6,297.3882573,-0.431030077,0.001713423,0.008338049,COA7,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000070729.14,295.4941744,-0.431822691,0.005429965,0.022766299,CNGB1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000120738.8,177.0980112,-0.432187204,0.013369368,0.04799034,EGR1,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000175782.10,152.5901089,-0.432340536,0.009112572,0.035014407,SLC35E3,#N/A,yes,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000272770.1,203.2841333,-0.432578242,0.002539308,0.011794269,AC005696.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000120805.14,190.8116544,-0.432686461,0.003535253,0.015729049,ARL1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000120742.11,180.0668808,-0.43376867,0.006923324,0.027899221,SERP1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000169905.12,544.4862924,-0.433980484,0.000388255,0.00219771,TOR1AIP2,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000143294.15,172.3356298,-0.434215453,0.004965569,0.021083024,PRCC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000134684.10,770.885949,-0.434834084,0.000227459,0.001348124,YARS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000259972.3,292.3586343,-0.435205931,0.009075656,0.034911879,AC009120.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000197912.15,281.707688,-0.436030734,0.006369818,0.026074706,SPG7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000103319.12,138.468193,-0.436449289,0.012983726,0.046893104,EEF2K,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000180660.8,246.4104685,-0.436688476,0.001689536,0.008233555,MAB21L1,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000166946.14,216.3185481,-0.437092743,0.00711858,0.028584762,CCNDBP1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000108947.5,231.9177898,-0.437188937,0.007127305,0.028612326,EFNB3,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000174010.9,127.2134826,-0.437306165,0.007704301,0.030555093,KLHL15,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000186019.11,172.7821499,-0.437471539,0.010125129,0.03818578,AC021092.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000110911.16,157.0781818,-0.437481171,0.009597863,0.036549793,SLC11A2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000155380.11,115.3940659,-0.438453881,0.008438716,0.032879244,SLC16A1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000153944.11,497.1288469,-0.438681678,0.000268971,0.001566935,MSI2,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000164024.12,317.3835067,-0.439583208,0.000774863,0.004107321,METAP1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000178074.6,151.9892981,-0.439719842,0.006145921,0.025287826,C2orf69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000173674.11,456.6246378,-0.44058187,0.002012124,0.009615816,EIF1AX,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000267680.5,180.6051877,-0.440775774,0.010873485,0.040499308,ZNF224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000171206.14,212.3765486,-0.441074134,0.002632262,0.012153811,TRIM8,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000256087.7,138.7546736,-0.441084491,0.010118195,0.038167228,ZNF432,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000119446.14,312.5248319,-0.441154739,0.002148223,0.010189671,RBM18,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000196440.11,247.6217396,-0.441441417,0.010424398,0.039102173,ARMCX4,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000264558.1,163.2782754,-0.442026986,0.003677214,0.016285365,AC015674.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000170322.14,117.5914819,-0.44245532,0.008192801,0.032101443,NFRKB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000166260.11,218.9065883,-0.444485612,0.00150714,0.007451122,COX11,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000245748.1,144.7954385,-0.444540589,0.009971348,0.037708268,AC097382.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000196428.12,632.4593963,-0.444697652,0.000517141,0.002851149,TSC22D2,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000164114.19,708.1202335,-0.444889656,0.000375693,0.002135947,MAP9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000143850.16,435.6737795,-0.44518721,0.002742374,0.012606388,PLEKHA6,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000169635.10,254.0862011,-0.446294738,0.002258933,0.010645291,HIC2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000273637.1,111.2172836,-0.446620775,0.013187138,0.04746788,AL139260.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198728.10,234.1510325,-0.447513595,0.009657907,0.03675234,LDB1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000260729.1,226.8673211,-0.447629171,0.006824763,0.027609389,AC009690.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000280128.1,289.0389787,-0.44812012,0.010449288,0.039175956,AL662795.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000177311.11,555.139297,-0.449089374,6.79E-05,0.000440421,ZBTB38,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000132155.11,467.0284326,-0.449098958,0.000911482,0.004758245,RAF1,#N/A,#N/A,#N/A,yes,yes,#N/A,yes
ENSG00000247416.4,168.6786548,-0.449896086,0.007532756,0.030007092,AP000802.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000083844.10,256.3567385,-0.450121046,0.001846909,0.008908097,ZNF264,#N/A,#N/A,yes,#N/A,yes,yes,yes
ENSG00000119280.16,134.4811227,-0.450253672,0.00771933,0.030600901,C1orf198,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000183908.7,283.4463344,-0.450374699,0.002829442,0.012959009,LRRC55,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000068912.14,188.3043612,-0.450950961,0.003136819,0.014152645,ERLEC1,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000143067.5,356.7214134,-0.451017232,0.001479115,0.00732608,ZNF697,#N/A,#N/A,#N/A,yes,#N/A,yes,#N/A
ENSG00000072518.20,165.0856477,-0.451213504,0.008791202,0.034062049,MARK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000162980.17,226.4648768,-0.451671317,0.002504011,0.011648795,ARL5A,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000122958.15,303.6631535,-0.45192613,0.002224426,0.010507667,VPS26A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000108474.17,104.0236454,-0.453747164,0.012467391,0.045364427,PIGL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000108883.13,232.3819843,-0.453870408,0.00192546,0.00923812,EFTUD2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000159202.18,321.5367306,-0.454067931,0.000751077,0.003993484,UBE2Z,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000096070.19,423.9777921,-0.454159729,0.000845782,0.004446811,BRPF3,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000104442.10,239.2818412,-0.454235523,0.002235835,0.010555873,ARMC1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000174405.13,300.9544282,-0.454370961,0.000560328,0.003060477,LIG4,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
