Index,UCSC_Gene_Symbol,Ingenuity_Gene_Symbol,Ingenuity_Gene_Description,Ingenuity_Gene_Product_Location,Ingenuity_Gene_Product_Type,Log2_Mean_CYTOSOL,Log2_Mean_LYSOSOME,Linear_Fold_Change_LYSOSOME_vs_CYTOSOL,Log2_Fold_Change_LYSOSOME_vs_CYTOSOL,Welch_Ttest_uncorrected_P_LYSOSOME_vs_CYTOSOL,Welch_Ttest_BH_FDR_corrected_P_LYSOSOME_vs_CYTOSOL
G5657,EML6,EML6,EMAP like 6,Other,other,3.594379184,5.632322041,4.106595524,2.037942857,3.38E-08,1.78E-05
G1060,ARHGAP22,ARHGAP22,Rho GTPase activating protein 22,Cytoplasm,other,2.608051633,4.634048995,4.072733351,2.025997362,1.84E-08,1.43E-05
G2904,CCDC8,CCDC8,coiled-coil domain containing 8,Plasma Membrane,other,2.51705053,4.535267986,4.050829761,2.018217456,1.25E-05,0.000327636
G16990,OPRM1,OPRM1,opioid receptor mu 1,Plasma Membrane,G-protein coupled receptor,3.000950672,5.01826656,4.048299109,2.017315888,0.001704947,0.007198817
G3560,CHRNA7,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,Plasma Membrane,transmembrane receptor,4.771995323,6.786822653,4.041322069,2.01482733,6.79E-06,0.000246928
G19373,RAB13,RAB13,"RAB13, member RAS oncogene family",Plasma Membrane,enzyme,2.84725711,4.860977791,4.038223277,2.013720681,1.05E-05,0.000301157
G23602,TIMP3,TIMP3,TIMP metallopeptidase inhibitor 3,Extracellular Space,other,2.972340784,4.982989214,4.029632942,2.01064843,8.79E-08,2.73E-05
G16571,NOTCH1,NOTCH1,notch receptor 1,Plasma Membrane,transcription regulator,2.891820138,4.885157688,3.981570354,1.99333755,2.58E-05,0.000482418
G16720,NRP2,NRP2,neuropilin 2,Plasma Membrane,kinase,3.550072419,5.541121337,3.975259162,1.991048918,5.13E-05,0.000745698
G2735,CBLN1,CBLN1,cerebellin 1 precursor,Cytoplasm,other,5.458056985,7.446620806,3.96841752,1.988563821,4.73E-07,6.11E-05
G24139,TOP2A,TOP2A,DNA topoisomerase II alpha,Nucleus,enzyme,2.511820138,4.493193221,3.948687188,1.981373083,1.27E-05,0.000329294
G7440,GNG5,GNG5,G protein subunit gamma 5,Plasma Membrane,other,3.000598825,4.969545338,3.91482146,1.968946513,0.000118021,0.001238888
G20920,SERINC5,SERINC5,serine incorporator 5,Plasma Membrane,transporter,5.613691114,7.580906401,3.910126512,1.967215287,5.62E-08,2.25E-05
G15434,MKI67,MKI67,marker of proliferation Ki-67,Nucleus,other,2.825322634,4.776864694,3.867877382,1.95154206,1.25E-05,0.000327636
G22743,ST6GALNAC5,ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",Cytoplasm,enzyme,4.965052655,6.912774262,3.857648268,1.947721608,4.48E-09,7.93E-06
G2567,CADPS2,CADPS2,calcium dependent secretion activator 2,Plasma Membrane,other,2.5,4.446416983,3.854161385,1.946416983,2.97E-05,0.000519488
G272,ADAM12,ADAM12,ADAM metallopeptidase domain 12,Plasma Membrane,peptidase,6.177353524,8.123473169,3.85336713,1.946119645,2.26E-08,1.61E-05
G25803,ZIC3,ZIC3,Zic family member 3,Nucleus,transcription regulator,3.414750412,5.356052033,3.84051989,1.941301622,2.71E-07,4.57E-05
G20212,ROR1,ROR1,receptor tyrosine kinase like orphan receptor 1,Plasma Membrane,kinase,2.877021293,4.818106201,3.839943032,1.941084908,0.000119413,0.001248807
G22905,STXBP6,STXBP6,syntaxin binding protein 6,Cytoplasm,other,2.792247675,4.718186532,3.799840486,1.925938857,4.77E-06,0.000198222
G22968,SUSD2,SUSD2,sushi domain containing 2,Extracellular Space,other,2.704868766,4.600838542,3.72172066,1.895969776,1.32E-06,0.000103226
G20413,RREB1,RREB1,ras responsive element binding protein 1,Nucleus,transcription regulator,2.845813129,4.719354769,3.6643102,1.873541639,2.63E-05,0.000486349
G17967,PERP,PERP,p53 apoptosis effector related to PMP22,Plasma Membrane,other,3.42934844,5.293624054,3.640850782,1.864275614,2.47E-08,1.61E-05
G12636,LOXL1,LOXL1,lysyl oxidase like 1,Extracellular Space,enzyme,4.878489633,6.739626248,3.632937675,1.861136616,2.96E-06,0.000157088
G8743,IGFBP2,IGFBP2,insulin like growth factor binding protein 2,Extracellular Space,other,4.221928565,6.06630341,3.590973098,1.844374845,1.42E-06,0.000107375
G15924,MYBL2,MYBL2,MYB proto-oncogene like 2,Nucleus,transcription regulator,2.5,4.343517425,3.58883955,1.843517425,3.29E-05,0.000554381
G17860,PDE1A,PDE1A,phosphodiesterase 1A,Cytoplasm,enzyme,2.5,4.338141957,3.575492451,1.838141957,0.000244098,0.001951997
G18104,PHOX2B,PHOX2B,paired like homeobox 2B,Nucleus,transcription regulator,2.5,4.320080901,3.531009986,1.820080901,1.55E-05,0.000368183
G6820,FOXM1,FOXM1,forkhead box M1,Nucleus,transcription regulator,2.5,4.311366709,3.509746199,1.811366709,4.00E-06,0.000187926
G9145,JAG1,JAG1,jagged canonical Notch ligand 1,Extracellular Space,growth factor,4.189749408,5.996961453,3.499653396,1.807212045,1.34E-07,3.13E-05
G7434,GNG12,GNG12,G protein subunit gamma 12,Plasma Membrane,enzyme,2.943497926,4.720331943,3.426733549,1.776834017,7.46E-08,2.43E-05
G3959,COMT,COMT,catechol-O-methyltransferase,Cytoplasm,enzyme,2.5,4.27458055,3.421385223,1.77458055,0.000459662,0.003007487
G20416,RRM2,RRM2,ribonucleotide reductase regulatory subunit M2,Nucleus,enzyme,2.5,4.273820148,3.419582387,1.773820148,0.000137772,0.001372562
G2819,CCDC152,CCDC152,coiled-coil domain containing 152,Other,other,3.019368127,4.785078447,3.400413799,1.76571032,1.22E-07,3.03E-05
G22924,SULF1,SULF1,sulfatase 1,Cytoplasm,enzyme,2.736003527,4.497735751,3.391050392,1.761732223,1.08E-05,0.00030535
G19585,RASSF3,RASSF3,Ras association domain family member 3,Other,other,3.242392646,5.002044351,3.386163664,1.759651705,2.27E-07,4.34E-05
G25802,ZIC2,ZIC2,Zic family member 2,Nucleus,transcription regulator,6.148698788,7.904712352,3.377635307,1.756013565,7.05E-08,2.36E-05
G24037,TNFAIP8L1,TNFAIP8L1,TNF alpha induced protein 8 like 1,Cytoplasm,other,2.947900008,4.693542776,3.353442275,1.745642768,2.46E-07,4.52E-05
G17732,PCDHA10,PCDHA10,protocadherin alpha 10,Extracellular Space,other,4.464804713,6.20851624,3.348956245,1.743711527,2.21E-05,0.000441925
G22723,ST18,ST18,ST18 C2H2C-type zinc finger transcription factor,Nucleus,transcription regulator,5.081764056,6.822344381,3.341695607,1.740580325,6.67E-07,7.13E-05
G25750,ZFHX3,ZFHX3,zinc finger homeobox 3,Nucleus,transcription regulator,4.356415383,6.095092084,3.337289177,1.738676702,1.89E-05,0.000414202
G4089,CRABP1,CRABP1,cellular retinoic acid binding protein 1,Cytoplasm,transporter,5.402019637,7.139913088,3.335477826,1.73789345,3.72E-05,0.00060543
G24042,TNFRSF10B,TNFRSF10B,TNF receptor superfamily member 10b,Plasma Membrane,transmembrane receptor,3.038391593,4.767234615,3.314618938,1.728843022,9.64E-07,8.36E-05
G3331,CENPF,CENPF,centromere protein F,Nucleus,other,3.497402297,5.222538011,3.306112263,1.725135714,0.000155929,0.001464034
G13357,METRN,METRN,"meteorin, glial cell differentiation regulator",Extracellular Space,other,3.718567544,5.431281646,3.277768814,1.712714103,8.29E-07,7.97E-05
G15764,MSN,MSN,moesin,Plasma Membrane,other,3.695634198,5.389286996,3.234746817,1.693652797,7.49E-07,7.55E-05
G17585,PAM,PAM,peptidylglycine alpha-amidating monooxygenase,Plasma Membrane,enzyme,6.954908937,8.642893556,3.222062813,1.687984619,5.53E-08,2.25E-05
G2973,CCND1,CCND1,cyclin D1,Nucleus,transcription regulator,2.5,4.179508112,3.203187195,1.679508112,9.24E-05,0.001068801
G8203,HIST1H3D,H3C4,H3 clustered histone 4,Nucleus,other,2.5,4.176025416,3.19546396,1.676025416,0.000133778,0.001344608
G950,APLNR,APLNR,apelin receptor,Plasma Membrane,G-protein coupled receptor,2.5,4.168588003,3.179033024,1.668588003,0.001813992,0.007536106
G25553,YBX3,YBX3,Y-box binding protein 3,Nucleus,transcription regulator,3.762131126,5.428859019,3.174936843,1.666727893,1.70E-05,0.000390425
G17767,PCDHGA11,PCDHGA11,"protocadherin gamma subfamily A, 11",Plasma Membrane,other,2.5,4.153198029,3.145300873,1.653198029,0.000184189,0.001614482
G19748,RELL1,RELL1,RELT like 1,Plasma Membrane,other,3.094498797,4.747667847,3.145237694,1.65316905,6.28E-08,2.29E-05
G7962,HAS3,HAS3,hyaluronan synthase 3,Plasma Membrane,enzyme,2.934192477,4.584015976,3.137952468,1.649823499,2.42E-05,0.000465412
G4061,CPNE9,CPNE9,copine family member 9,Extracellular Space,other,2.808919363,4.450923108,3.120990022,1.642003745,1.84E-05,0.00040869
G9621,KLHL4,KLHL4,kelch like family member 4,Cytoplasm,other,4.089842876,5.729059707,3.114966895,1.639216831,2.69E-05,0.000490129
G10742,LINC01234,LINC01234,long intergenic non-protein coding RNA 1234,Other,other,2.5,4.133872926,3.103450051,1.633872926,8.87E-05,0.001041168
G19878,RHOC,RHOC,ras homolog family member C,Plasma Membrane,enzyme,4.146273696,5.780071136,3.103287674,1.63379744,2.15E-07,4.24E-05
G15908,MVP,MVP,major vault protein,Nucleus,other,2.551684362,4.185425809,3.103167233,1.633741447,0.000246862,0.001968825
G15923,MYBL1,MYBL1,MYB proto-oncogene like 1,Nucleus,transcription regulator,2.63219675,4.26480158,3.100723387,1.63260483,0.000121646,0.001267938
G22423,SPARC,SPARC,secreted protein acidic and cysteine rich,Extracellular Space,other,3.227839313,4.845854365,3.069524216,1.618015051,1.43E-05,0.000353765
G17634,PARM1,PARM1,prostate androgen-regulated mucin-like protein 1,Extracellular Space,other,5.600318128,7.216351935,3.06531175,1.616033807,1.51E-06,0.000107647
G8584,HTR7,HTR7,5-hydroxytryptamine receptor 7,Plasma Membrane,G-protein coupled receptor,3.501507492,5.117158056,3.064497577,1.615650564,1.56E-06,0.000108961
G8065,HEG1,HEG1,heart development protein with EGF like domains 1,Plasma Membrane,other,5.541320098,7.153461522,3.057052704,1.612141425,7.36E-07,7.52E-05
G6256,FAM46A,TENT5A,terminal nucleotidyltransferase 5A,Cytoplasm,enzyme,2.5,4.10822332,3.048761554,1.60822332,0.000177574,0.001577686
G17778,PCDHGB2,PCDHGB2,"protocadherin gamma subfamily B, 2",Other,other,3.499895335,5.101476248,3.034756817,1.601580914,1.13E-05,0.000311821
G9279,KCNIP4,KCNIP4,potassium voltage-gated channel interacting protein 4,Plasma Membrane,ion channel,3.424761994,5.020735234,3.022983784,1.59597324,0.000129683,0.001321653
G6553,FEZF1-AS1,FEZF1-AS1,FEZF1 antisense RNA 1,Other,other,2.5,4.081886964,2.993611413,1.581886964,1.32E-05,0.000337411
G17824,PCSK2,PCSK2,proprotein convertase subtilisin/kexin type 2,Extracellular Space,peptidase,6.492601295,8.072772983,2.990054306,1.580171687,1.43E-08,1.27E-05
G16685,NR5A2,NR5A2,nuclear receptor subfamily 5 group A member 2,Nucleus,ligand-dependent nuclear receptor,5.215569874,6.795590167,2.989740549,1.580020292,3.69E-09,7.93E-06
G7341,GLIPR2,GLIPR2,GLI pathogenesis related 2,Cytoplasm,other,3.614348964,5.193453491,2.987843384,1.579104527,4.03E-05,0.000640533
G20789,SDK2,SDK2,sidekick cell adhesion molecule 2,Plasma Membrane,other,4.337516217,5.913819972,2.982048568,1.576303755,7.06E-06,0.00025332
G20709,SCGN,SCGN,"secretagogin, EF-hand calcium binding protein",Cytoplasm,other,2.5,4.073644895,2.976557769,1.573644895,0.000762246,0.004185096
G10292,LINC00461,LINC00461,long intergenic non-protein coding RNA 461,Other,other,2.5,4.073153612,2.975544331,1.573153612,0.000149735,0.001432294
G5738,EPHA3,EPHA3,EPH receptor A3,Plasma Membrane,kinase,6.275975539,7.840468038,2.957734385,1.564492499,1.35E-05,0.00034076
G24530,TSTD1,TSTD1,thiosulfate sulfurtransferase like domain containing 1,Cytoplasm,enzyme,2.949702498,4.507751609,2.944553959,1.558049111,1.16E-05,0.000315939
G8194,HIST1H2BJ,H2BC11,H2B clustered histone 11,Nucleus,other,2.5,4.054871694,2.938075958,1.554871694,0.000540515,0.003330358
G17864,PDE3A,PDE3A,phosphodiesterase 3A,Cytoplasm,enzyme,2.957795967,4.50140834,2.915235379,1.543612373,2.60E-06,0.000144134
G19568,RASGRF1,RASGRF1,Ras protein specific guanine nucleotide releasing factor 1,Cytoplasm,other,2.544052457,4.083546576,2.906925541,1.539494118,1.05E-07,2.85E-05
G20764,SDC2,SDC2,syndecan 2,Plasma Membrane,other,4.500954554,6.036453581,2.898886858,1.535499027,1.87E-07,3.85E-05
G24178,TPBGL,TPBGL,trophoblast glycoprotein like,Other,other,2.946624568,4.472799588,2.880212026,1.526175019,2.71E-06,0.000147588
G16885,NXPH1,NXPH1,neurexophilin 1,Extracellular Space,other,2.5,4.018162055,2.864259201,1.518162055,0.000183178,0.001612809
G23555,THSD7B,THSD7B,thrombospondin type 1 domain containing 7B,Other,other,5.163016694,6.661234382,2.824935031,1.498217688,8.08E-06,0.000269476
G9897,LAMB1,LAMB1,laminin subunit beta 1,Extracellular Space,other,5.324203115,6.814742324,2.809939774,1.490539209,3.96E-07,5.71E-05
G1511,B2M,B2M,beta-2-microglobulin,Plasma Membrane,transmembrane receptor,2.545800716,4.034828358,2.806997234,1.489027642,1.73E-06,0.000114403
G7892,GYPC,GYPC,glycophorin C (Gerbich blood group),Plasma Membrane,other,4.956723922,6.44343757,2.802498591,1.486713648,3.13E-06,0.00016237
G4938,DIRAS2,DIRAS2,DIRAS family GTPase 2,Plasma Membrane,enzyme,3.547074713,5.032239785,2.799492029,1.485165072,2.24E-06,0.000133194
G16387,NFU1,NFU1,NFU1 iron-sulfur cluster scaffold,Cytoplasm,other,4.720118751,6.204309982,2.797602965,1.48419123,1.83E-07,3.84E-05
G18403,PLXDC2,PLXDC2,plexin domain containing 2,Extracellular Space,other,4.981397572,6.455516584,2.778139439,1.474119012,2.93E-05,0.000517638
G6973,FZD7,FZD7,frizzled class receptor 7,Plasma Membrane,G-protein coupled receptor,3.372072239,4.844658838,2.775190101,1.4725866,8.51E-07,8.12E-05
G3223,CDK6,CDK6,cyclin dependent kinase 6,Nucleus,kinase,4.221269736,5.681442464,2.751413032,1.460172728,0.00012284,0.001274967
G5579,EIF5A2,EIF5A2,eukaryotic translation initiation factor 5A2,Cytoplasm,translation regulator,2.920642657,4.376218458,2.742660028,1.455575801,7.63E-05,0.000955086
G18027,PGF,PGF,placental growth factor,Extracellular Space,growth factor,2.5,3.955011504,2.741587471,1.455011504,4.69E-06,0.000196698
G9050,ISL1,ISL1,ISL LIM homeobox 1,Nucleus,transcription regulator,4.493631851,5.944563591,2.733845551,1.45093174,5.97E-08,2.29E-05
G19387,RAB26,RAB26,"RAB26, member RAS oncogene family",Plasma Membrane,enzyme,2.5,3.950020827,2.732119954,1.450020827,0.000213727,0.001787494
G3564,CHRNB3,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,Plasma Membrane,transmembrane receptor,3.601303727,5.038651373,2.708225081,1.437347646,7.60E-05,0.000953691
G1394,ATP2B4,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,Plasma Membrane,transporter,5.036650912,6.473996599,2.708221403,1.437345687,4.65E-05,0.000701311
G3296,CECR1,ADA2,adenosine deaminase 2,Extracellular Space,enzyme,2.628541516,4.062423412,2.701726988,1.433881896,1.95E-05,0.000417585
G5876,ETV1,ETV1,ETS variant transcription factor 1,Nucleus,transcription regulator,6.269645173,7.701821733,2.6985353,1.43217656,2.19E-05,0.000441865
G5020,DMD,DMD,dystrophin,Plasma Membrane,other,2.829212514,4.254221852,2.685162384,1.425009337,0.000235874,0.00191212
G25801,ZIC1,ZIC1,Zic family member 1,Nucleus,transcription regulator,2.661108123,4.085540883,2.684089465,1.42443276,2.54E-05,0.000479909
G637,ALK,ALK,ALK receptor tyrosine kinase,Plasma Membrane,kinase,3.211621276,4.63421414,2.680668578,1.422592864,1.16E-05,0.000315939
G16950,OLFM1,OLFM1,olfactomedin 1,Cytoplasm,other,8.520374889,9.942241807,2.679320037,1.421866917,5.22E-07,6.54E-05
G5731,EPDR1,EPDR1,ependymin related 1,Nucleus,other,2.562167823,3.983461925,2.678256437,1.421294102,1.37E-06,0.000105882
G16278,NDUFS5,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,Cytoplasm,enzyme,5.608975498,7.029261759,2.676386109,1.420286262,8.26E-05,0.001001973
G5938,EYA1,EYA1,EYA transcriptional coactivator and phosphatase 1,Nucleus,phosphatase,4.862744434,6.280883214,2.672405217,1.41813878,2.69E-08,1.67E-05
G17940,PDZRN3,PDZRN3,PDZ domain containing ring finger 3,Extracellular Space,enzyme,3.531246583,4.94793163,2.669713721,1.416685047,5.58E-06,0.000217787
G12650,LPCAT2,LPCAT2,lysophosphatidylcholine acyltransferase 2,Cytoplasm,enzyme,2.830994874,4.236264748,2.648673242,1.405269874,1.91E-05,0.000415264
G13313,MEF2C,MEF2C,myocyte enhancer factor 2C,Nucleus,transcription regulator,4.189190258,5.593568474,2.647036734,1.404378216,3.23E-06,0.000166209
G21192,SIX3,SIX3,SIX homeobox 3,Nucleus,transcription regulator,2.5,3.899404379,2.637926521,1.399404379,2.68E-05,0.000490129
G8175,HIST1H2AD,H2AC7,H2A clustered histone 7,Nucleus,other,2.519516361,3.918480313,2.637121336,1.398963952,7.78E-05,0.000965927
G20988,SEZ6L,SEZ6L,seizure related 6 homolog like,Plasma Membrane,other,9.019736827,10.41802819,2.635892181,1.398291359,3.90E-07,5.70E-05
G7067,GALNT12,GALNT12,polypeptide N-acetylgalactosaminyltransferase 12,Cytoplasm,enzyme,2.587917153,3.985065333,2.633804348,1.397148179,3.61E-06,0.000179735
G17752,PCDHB15,PCDHB15,protocadherin beta 15,Plasma Membrane,other,3.708205508,5.103991727,2.631319106,1.395786218,1.23E-05,0.000324314
G6641,FKBP10,FKBP10,FKBP prolyl isomerase 10,Cytoplasm,enzyme,3.264436344,4.655655307,2.623002101,1.391218963,2.15E-07,4.24E-05
G20214,ROR2,ROR2,receptor tyrosine kinase like orphan receptor 2,Plasma Membrane,kinase,3.484561668,4.874859729,2.621328317,1.39029806,4.05E-06,0.000188807
G13029,MAN1C1,MAN1C1,mannosidase alpha class 1C member 1,Cytoplasm,enzyme,2.984774678,4.372595225,2.616830622,1.387820547,0.000197865,0.001705436
G4458,CYBA,CYBA,cytochrome b-245 alpha chain,Cytoplasm,enzyme,2.5,3.886071273,2.613659626,1.386071273,6.34E-05,0.000855932
G19408,RAB3B,RAB3B,"RAB3B, member RAS oncogene family",Cytoplasm,enzyme,6.126859804,7.51118066,2.610490404,1.384320856,6.69E-07,7.13E-05
G17719,PCDH12,PCDH12,protocadherin 12,Plasma Membrane,other,2.549265606,3.930909491,2.605651041,1.381643886,1.08E-05,0.00030535
G2207,C1QL1,C1QL1,complement C1q like 1,Extracellular Space,other,2.5,3.880575939,2.603722938,1.380575939,9.10E-07,8.24E-05
G18002,PFKP,PFKP,"phosphofructokinase, platelet",Cytoplasm,kinase,4.191526941,5.568132152,2.596566566,1.376605211,3.47E-06,0.000176644
G843,ANLN,ANLN,"anillin, actin binding protein",Cytoplasm,other,2.712449877,4.080483303,2.581184784,1.368033426,7.75E-05,0.000964773
G24515,TSPYL5,TSPYL5,TSPY like 5,Other,other,2.64751458,4.014276111,2.578910189,1.366761532,5.10E-05,0.00074358
G18702,PPP1R17,PPP1R17,protein phosphatase 1 regulatory subunit 17,Cytoplasm,other,5.69429731,7.054014094,2.566347945,1.359716784,0.000110499,0.00119487
G23635,TLL1,TLL1,tolloid like 1,Extracellular Space,peptidase,2.5,3.858506482,2.564195894,1.358506482,0.000400726,0.002745968
G18977,PRR11,PRR11,proline rich 11,Cytoplasm,other,2.5,3.85327337,2.554911591,1.35327337,3.35E-05,0.000559124
G5945,EZR,EZR,ezrin,Plasma Membrane,other,4.313841142,5.666651385,2.554091559,1.352810243,2.32E-05,0.000452331
G1524,B3GNT2,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",Cytoplasm,enzyme,2.785096131,4.135998687,2.550716494,1.350902556,2.30E-05,0.000451701
G1881,BTBD17,BTBD17,BTB domain containing 17,Plasma Membrane,other,3.923758815,5.255452466,2.516979822,1.331693651,9.09E-06,0.000284057
