PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,NES Assoc
P26006,ITGA3,0.058967574,0.054808193,0.06027247,0.074835668,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.059620022,1.00E-07,0.062220876,0.031110538,14.60022137,3.63E-06,0.000175805,4.710442525,"116,612",3.754968389,11,1
Q92626,PXDN,1.161770829,1.101367878,1.103344071,1.132370866,1.429830327,1.486330597,1.527605077,1.449318156,1.440631974,1.117857468,1.449318156,-0.348557628,1.298992225,-13.94817952,4.83E-06,0.000208765,4.387719285,"165,275",3.680342083,40,1
O94776,MTA2,0.160675088,0.164976018,0.171442445,0.178838595,0.278906626,0.290718052,0.25805395,0.272980287,0.232005529,0.168209232,0.272980287,-0.106181692,0.222073883,-13.92839323,4.87E-06,0.000209643,4.377698324,"75,023",3.678518706,25,1
Q6VY07,PACS1,0.035670442,0.040962556,0.041660479,0.037293096,0.085384497,0.087955438,0.075859968,0.078270312,0.055902293,0.039127826,0.078270312,-0.042970911,0.060382099,-13.60283763,5.65E-06,0.000227255,4.210807569,"104,898",3.643486404,25,1
Q3KQU3,MAP7D1,0.364320229,0.391835998,0.365534421,0.401164496,0.540439526,0.578535991,0.537969997,0.55799522,0.5616319,0.37868521,0.55799522,-0.173021397,0.467224485,-13.51794242,5.87E-06,0.000231747,4.166652867,"92,820",3.634985102,20,1
Q9Y2X7,GIT1,0.003003106,1.00E-07,1.00E-07,1.00E-07,0.192880765,0.137104571,0.147113901,0.154521319,0.168861977,1.00E-07,0.154521319,-0.157154287,0.079327995,-13.29294657,6.52E-06,0.000246314,4.048325541,"84,341",3.60851168,23,1
Q9Y383,LUC7L2,0.017791303,0.001945134,1.00E-07,0.009766692,0.09990925,0.116826277,0.093296743,0.121096686,0.047479424,0.005855913,0.09990925,-0.100406432,0.057579023,-13.28468243,6.55E-06,0.000246314,4.043942772,"46,514",3.60851168,15,1
Q674X7,KAZN,0.342293479,0.39769702,0.274879138,0.367617558,0.687243593,0.705412082,0.706672103,0.744537378,0.660992037,0.354955519,0.705412082,-0.36534449,0.528294044,-13.12386901,7.06E-06,0.00025932,3.958132497,"86,351",3.586164626,5,1
O95793,STAU1,0.296114813,0.316953428,0.325816227,0.329077241,0.502552534,0.461092979,0.513870591,0.508694499,0.484613306,0.321384828,0.502552534,-0.179562223,0.406771539,-13.12229869,7.07E-06,0.00025932,3.957289612,"63,182",3.586164626,29,1
P63010,AP2B1,0.065415475,0.068847538,0.073676971,0.075601897,0.12824248,0.119226098,0.11364098,0.1183206,0.132957939,0.071262255,0.119226098,-0.048972069,0.095371505,-13.05848402,7.29E-06,0.000260612,3.922954363,"104,553",3.584005546,26,1
O95155,UBE4B,0.098826874,0.08442142,0.084510725,0.083075373,0.186184462,0.208884124,0.175616569,0.184543686,0.256991977,0.084466072,0.186184462,-0.101098613,0.138257904,-13.03208816,7.38E-06,0.000260612,3.908705175,"146,185",3.584005546,39,1
Q5VWJ9,SNX30,1.00E-07,0.026713454,1.00E-07,1.00E-07,0.168958605,0.154039124,0.185049211,0.134863396,0.183232042,1.00E-07,0.168958605,-0.154049146,0.083703011,-12.62356864,8.99E-06,0.000288369,3.684589283,"49,677",3.540052039,17,1
Q9GZR7,DDX24,0.3477409,0.400958927,0.468926233,0.36224358,0.763228724,0.867589447,0.804051075,0.812374664,0.951220794,0.381601253,0.812374664,-0.416843568,0.603389194,-12.47451642,9.68E-06,0.000302313,3.601095916,"96,332",3.51954352,27,1
Q3KQV9,UAP1L1,0.125811538,0.168034326,0.113160851,0.13165625,0.335121623,0.346706506,0.307671097,0.304104074,0.36924375,0.128733894,0.335121623,-0.188735084,0.229033283,-12.41551293,9.97E-06,0.000307176,3.567782705,"57,030",3.512612341,7,1
Q96SB3,PPP1R9B,0.160133204,0.146264207,0.162896548,0.176010764,0.250723975,0.268193639,0.264552228,0.246842228,0.27969799,0.161514876,0.264552228,-0.096251837,0.209452099,-12.39362712,1.01E-05,0.000308496,3.555387898,"89,192",3.510750431,16,1
Q96GM5,SMARCD1,0.060035902,0.075812838,0.055745568,0.05423941,0.133432289,0.155401883,0.152277149,0.141944935,0.133862297,0.057890735,0.141944935,-0.084305634,0.103611247,-12.33950458,1.04E-05,0.000314492,3.524646944,"58,233",3.502390203,24,1
P19174,PLCG1,0.243806259,0.239571565,0.244209347,0.239485624,0.352288081,0.323469296,0.319804374,0.326915209,0.340186775,0.241688912,0.326915209,-0.088851041,0.286193719,-12.2452063,1.09E-05,0.000320712,3.470780787,"148,532",3.493884466,48,1
Q14254,FLOT2,0.049930293,0.046318905,0.045838282,0.057174529,0.082832617,0.087508423,0.082392779,0.085021252,0.0762162,0.048124599,0.082832617,-0.034623265,0.067127135,-12.19292678,1.11E-05,0.000324141,3.44074803,"47,064",3.489266671,21,1
P14923,JUP,0.462805569,0.406618805,0.43708247,0.437016519,0.661954043,0.621820981,0.685687746,0.632845593,0.709131161,0.437049494,0.661954043,-0.21469625,0.543228966,-12.02885706,1.21E-05,0.000339655,3.345701121,"81,745",3.468961897,21,1
Q7RTS9,DYM,0.469558637,0.344386527,0.366811079,0.423093472,0.736275785,0.757714654,0.74767055,0.718579253,0.658390487,0.394952275,0.736275785,-0.339097632,0.570511245,-11.91048333,1.29E-05,0.000353561,3.276365899,"75,935",3.451535492,4,1
Q92620,DHX38,0.160061181,0.164136978,0.160348481,0.158976095,0.236854759,0.214966245,0.214748023,0.222411894,0.218924952,0.160204831,0.218924952,-0.061364546,0.191562957,-11.88100355,1.31E-05,0.000356897,3.258998061,"140,503",3.447457269,38,1
Q8WUH2,TGFBRAP1,0.086367837,0.087351926,0.058618304,0.0849095,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.085638668,1.00E-07,0.079311792,0.039655996,11.81534426,1.35E-05,0.000365015,3.220169603,"97,158",3.437689871,14,1
Q9BVA0,KATNB1,0.026776218,0.050845103,0.071990874,0.024504006,0.216380769,0.215830469,0.238583637,0.189345492,0.230192107,0.03881066,0.216380769,-0.171506042,0.129282071,-11.76906338,1.39E-05,0.000367907,3.192679183,"72,334",3.434261962,22,1
Q9BQ04,RBM4B,0.375733261,0.371435977,0.353827211,0.447345718,0.661380669,0.744407833,0.678796619,0.694443232,0.68603886,0.373584619,0.68603886,-0.307671547,0.540921315,-11.65622982,1.47E-05,0.000384534,3.125230985,"40,150",3.415065445,2,1
Q96PD2,DCBLD2,0.709933812,0.705061681,0.593164099,0.679020513,1.200852935,1.194620315,1.374506116,1.201516173,1.149721025,0.692041097,1.200852935,-0.571078859,0.957334455,-11.45410451,1.64E-05,0.000413134,3.002869448,"85,035",3.383909095,6,1
Q6IN85,PPP4R3A,0.087927697,0.084019361,0.099952073,0.087533765,0.177132974,0.163543338,0.195427048,0.195566405,0.180920677,0.087730731,0.180920677,-0.093059217,0.136387833,-11.27395138,1.81E-05,0.000436447,2.892105042,"95,368",3.360068371,14,1
Q9HCJ3,RAVER2,0.256275028,0.25555077,0.25284626,0.176849507,0.744982195,0.721306136,0.692094443,0.579854172,0.445863251,0.254198515,0.692094443,-0.449178845,0.459969814,-11.21669707,1.87E-05,0.00044852,2.856559376,"74,339",3.348217865,6,1
O43396,TXNL1,0.258853242,0.300353505,0.295211829,0.315161311,0.535889043,0.510377478,0.463417974,0.49593348,0.464239798,0.297782667,0.49593348,-0.209009522,0.396899733,-11.21453008,1.87E-05,0.00044852,2.855210734,"32,251",3.348217865,19,1
Q5VUJ9,EFCAB2,0.277191227,0.27472677,0.272130852,0.23923001,0.0980858,0.039364545,0.059293462,0.010757598,1.00E-07,0.273428811,0.039364545,0.213944364,0.158847533,10.84646177,2.29E-05,0.000504483,2.622577216,"29,714",3.2971531,1,1
Q16401,PSMD5,0.012915395,0.02273139,0.02005542,0.004707738,0.068104998,0.06603806,0.068469214,0.057819581,0.071108002,0.016485408,0.068104998,-0.050005478,0.040105225,-10.81415481,2.33E-05,0.000511491,2.601812827,"56,196",3.291161597,21,1
P41223,BUD31,0.166308682,0.160804175,0.17183613,0.17200473,0.247824869,0.226538872,0.258107074,0.254851251,0.257504118,0.169072406,0.254851251,-0.079092087,0.207284473,-10.75909554,2.41E-05,0.000521987,2.566293681,"17,000",3.282340139,7,1
Q9ULC4,MCTS1,0.042153646,0.049835986,0.063609038,0.053182043,0.126261677,0.111408409,0.137104285,0.121525884,0.131931766,0.051509015,0.126261677,-0.071879885,0.088135121,-10.66090031,2.55E-05,0.000542777,2.502532392,"20,555",3.26537871,12,1
O14730,RIOK3,0.587004191,0.661732868,0.626622521,0.688369798,1.21302709,1.170836326,1.404729092,1.179377955,1.347596957,0.644177695,1.21302709,-0.601060271,0.94146248,-10.49845267,2.80E-05,0.000574604,2.395863705,"59,093",3.240631306,12,1
Q16537,PPP2R5E,0.145648912,0.15190008,0.128103516,0.147342817,0.202323212,0.222626354,0.207785208,0.215027245,0.201991912,0.146495864,0.207785208,-0.068691674,0.177594668,-10.35713333,3.04E-05,0.000607091,2.301840542,"54,699",3.216745854,11,1
Q15154,PCM1,0.61346585,0.599581198,0.66072694,0.610893233,0.812163213,0.808361321,0.775968625,0.840685776,0.770548519,0.612179541,0.808361321,-0.188127928,0.715230769,-10.27570651,3.19E-05,0.000624891,2.247135936,"228,544",3.204195525,49,1
A1L390,PLEKHG3,0.185521827,0.154135264,0.167559584,0.162198012,0.051797334,0.035787202,1.00E-07,1.00E-07,1.00E-07,0.164878798,1.00E-07,0.145457488,0.094624928,10.2594829,3.22E-05,0.000628368,2.236189681,"134,412",3.201786039,23,1
Q5T6F2,UBAP2,0.171191783,0.137327012,0.144403983,0.17616829,0.351164695,0.412620435,0.343861225,0.331858051,0.326842866,0.157797883,0.343861225,-0.202603335,0.258574434,-10.25055387,3.24E-05,0.000628969,2.230158489,"117,116",3.201370852,8,1
P27544,CERS1,0.015664276,1.00E-07,1.00E-07,1.00E-07,0.063495363,0.093846598,0.083712479,0.074534609,1.00E-07,1.00E-07,0.074534609,-0.074981118,0.041406703,-10.21760687,3.30E-05,0.000632137,2.207863012,"39,536",3.199188693,5,1
Q9Y4C2,TCAF1,1.065653758,0.973150148,1.083078285,1.05844966,1.474807762,1.377497761,1.492494383,1.376609479,1.475979231,1.062051709,1.474807762,-0.385269384,1.237717654,-10.0858253,3.57E-05,0.00066872,2.118032317,"102,126",3.174755592,20,1
Q9UJW0,DCTN4,0.22322876,0.216713077,0.215529017,0.219188574,0.312316041,0.301508423,0.283014503,0.323903573,0.35376965,0.217950826,0.312316041,-0.086520778,0.261925246,-10.08294507,3.58E-05,0.00066872,2.116057195,"52,337",3.174755592,17,1
Q13907,IDI1,0.250104485,0.245517901,0.209364462,0.243333891,0.338597659,0.365154769,0.366525309,0.342077644,0.316423161,0.244425896,0.342077644,-0.116008661,0.295084515,-10.05395634,3.64E-05,0.000676896,2.096149841,"26,319",3.169478365,7,1
Q684P5,RAP1GAP2,0.112147945,0.018696366,0.117512344,0.072287888,0.312873444,0.324011647,0.294817777,0.304318647,0.222250211,0.092217916,0.304318647,-0.228844243,0.194583257,-10.0007238,3.76E-05,0.000688955,2.05945898,"80,056",3.161808899,15,1
Q96F07,CYFIP2,0.147331885,0.147970847,0.161365606,0.173424253,0.273720675,0.298347819,0.280723612,0.247853328,0.305374598,0.154668226,0.280723612,-0.117638211,0.216342253,-9.982626531,3.80E-05,0.000691111,2.0469454,"148,399",3.160452455,28,1
Q96HW7,INTS4,0.049143367,0.085344812,0.064996617,0.073179794,0.141223435,0.147097417,0.151666906,0.159421355,0.102079701,0.069088205,0.147097417,-0.081686131,0.109009213,-9.903758481,3.99E-05,0.000713095,1.992172707,"108,171",3.146852569,32,1
Q96AY4,TTC28,0.113166707,0.131786727,0.138261985,0.129791003,0.22398933,0.202578478,0.194580941,0.215043867,0.191186498,0.130788865,0.202578478,-0.080796548,0.16864988,-9.88734016,4.03E-05,0.000716621,1.980721357,"270,884",3.144710437,55,1
P61962,DCAF7,0.456515436,0.445188841,0.442885491,0.45825448,0.552098776,0.578053151,0.552545526,0.602264225,0.569170593,0.450852138,0.569170593,-0.120529358,0.510975741,-9.879539381,4.05E-05,0.000717774,1.975274559,"38,926",3.144012102,10,1
Q6ZNE5,ATG14,1.130049383,1.138616042,1.07971621,0.983680675,0.433943415,0.369630359,0.213022287,0.519015663,0.330923044,1.104882797,0.369630359,0.699112647,0.733459254,9.801833522,4.25E-05,0.000738153,1.920806677,"55,309",3.131853856,4,1
Q6ZSZ5,ARHGEF18,0.048081338,0.066348204,0.083021678,0.036097805,0.21066003,0.244878802,0.192734238,0.25352481,0.215431501,0.057214771,0.215431501,-0.167062214,0.141918363,-9.80035558,4.26E-05,0.000738153,1.919766987,"130,780",3.131853856,16,1
Q9P265,DIP2B,0.224187871,0.240240328,0.201770889,0.241984975,0.337905294,0.381961192,0.356001913,0.343762828,0.393069816,0.232214099,0.356001913,-0.127861791,0.290976911,-9.780455428,4.31E-05,0.000741745,1.905754149,"171,492",3.129745282,35,1
P37268,FDFT1,0.25253253,0.227195007,0.255903899,0.265108096,0.377548182,0.381157162,0.360016182,0.341123982,0.345861927,0.254218215,0.360016182,-0.114776494,0.30757313,-9.675483009,4.60E-05,0.000774937,1.831414261,"48,115",3.110733863,28,1
Q9ULK5,VANGL2,0.364768105,0.36623041,0.404453663,0.393668187,0.520140491,0.555222141,0.529471115,0.498355269,0.491444009,0.379949298,0.520140491,-0.143517163,0.454038673,-9.627115676,4.74E-05,0.000789826,1.796919763,"59,714",3.102468332,12,1
Q8N4S7,PAQR4,0.316738355,0.312761134,0.288721625,0.299276379,0.437001599,0.408543629,0.397953346,0.396437143,0.443092577,0.306018757,0.408543629,-0.105609556,0.357179151,-9.58557856,4.87E-05,0.000800239,1.767173538,"29,126",3.096780545,1,1
P17036,ZNF3,0.88280231,1.200274134,0.84877252,0.765072549,1.00E-07,0.083223031,1.00E-07,1.00E-07,0.281951597,0.865787415,1.00E-07,0.903424546,0.472518106,9.584172465,4.87E-05,0.000800239,1.766164586,"50,916",3.096780545,3,1
O43929,ORC4,0.164569922,0.187480419,0.170976557,0.184300369,0.281055125,0.261626888,0.294513976,0.256027668,0.264362114,0.177638463,0.264362114,-0.096474098,0.225068865,-9.577489886,4.89E-05,0.000801209,1.761367668,"50,377",3.096254129,19,1
O60331,PIP5K1C,0.390761865,0.338710757,0.396651657,0.410732905,0.657179254,0.666073176,0.722942947,0.598597215,0.671491585,0.393706761,0.666073176,-0.276983852,0.522706222,-9.576034465,4.90E-05,0.000801209,1.760322538,"73,260",3.096254129,13,1
Q9P291,ARMCX1,0.300316113,0.329110996,0.24468939,0.287724473,0.462498152,0.487523818,0.484292721,0.44460666,0.535776914,0.294020293,0.484292721,-0.179270095,0.38009529,-9.169144709,6.36E-05,0.000959797,1.462496663,"49,180",3.017820802,11,1
O43395,PRPF3,1.00E-07,0.020213406,0.035863643,0.028959199,0.092052117,0.1010597,0.109212541,0.116798655,0.095478454,0.024586303,0.1010597,-0.083521666,0.06301992,-9.149757435,6.44E-05,0.000966981,1.448018724,"77,529",3.014582268,27,1
Q99570,PIK3R4,0.156210529,0.146124529,0.142185225,0.142579889,0.225500605,0.262000064,0.262566232,0.284369098,0.267797555,0.144352209,0.262566232,-0.111833957,0.202692021,-9.147903909,6.45E-05,0.000966981,1.446633156,"153,103",3.014582268,36,1
Q96CV9,OPTN,0.188928348,0.185905553,0.15830621,0.190440023,0.431688467,0.372054489,0.332296823,0.414254419,0.396071743,0.187416951,0.396071743,-0.206678516,0.284234291,-9.083674413,6.73E-05,0.001002048,1.398467783,"65,922",2.99911161,9,1
Q52LR7,EPC2,0.68235807,0.678175129,0.575605314,0.637102393,0.900274808,0.857947935,0.86409539,0.888959455,0.849949693,0.657638761,0.86409539,-0.23450917,0.760564812,-9.074440923,6.77E-05,0.001002048,1.391519273,"91,095",2.99911161,5,1
Q9UPW5,AGTPBP1,0.119515724,0.10173761,0.109175321,0.098289802,0.171460734,0.176035765,0.182048521,0.155848944,0.145361861,0.105456466,0.171460734,-0.064168877,0.139264053,-9.046305079,6.90E-05,0.001016053,1.370308129,"138,448",2.993083812,36,1
P04156,PRNP,0.056080989,0.419642054,0.05614457,0.27130115,1.156383534,0.951520922,1.217074922,1.170184716,1.227382812,0.16372286,1.170184716,-0.922998833,0.662291607,-8.959624647,7.31E-05,0.001051923,1.30459918,"27,661",2.978015897,5,1
Q9NVC6,MED17,0.193761251,0.240325288,0.243429117,0.224772494,0.333079139,0.353786677,0.336244143,0.325062125,0.369707153,0.232548891,0.336244143,-0.111470983,0.281307529,-8.946696637,7.38E-05,0.001057097,1.294751796,"72,890",2.975884978,23,1
Q9NVH2,INTS7,0.001057788,1.00E-07,1.00E-07,1.00E-07,0.060250487,0.062241463,0.057396389,0.090770805,1.00E-07,1.00E-07,0.060250487,-0.067400264,0.033964654,-8.94466673,7.39E-05,0.001057097,1.293204479,"106,834",2.975884978,25,1
Q9BZM4,ULBP3,0.687335629,0.808628611,0.76415111,0.828081376,1.088089307,1.133224677,1.234104895,1.142586606,1.128404949,0.78638986,1.133224677,-0.377452189,0.960775276,-8.927483736,7.47E-05,0.001062965,1.280094377,"27,949",2.973480947,8,1
O00264,PGRMC1,0.08711777,0.09887252,0.09429675,0.087889297,0.049899211,0.021227425,0.027543349,0.035698752,0.049341531,0.091093023,0.035698752,0.0584519,0.062818134,8.869540373,7.77E-05,0.001091763,1.235723956,"21,671",2.96187171,13,1
Q08209,PPP3CA,0.051744958,0.03813085,0.062069355,0.035180081,0.119877328,0.105462671,0.103256503,0.107126208,0.114521868,0.044937904,0.107126208,-0.062149367,0.077855994,-8.805487145,8.11E-05,0.001121385,1.186382857,"58,688",2.950245233,4,1
O75312,ZPR1,0.128549458,0.146872427,0.117788406,0.1312274,0.255988077,0.21339631,0.217957787,0.219657767,0.241382211,0.129888429,0.219657767,-0.095640563,0.178929704,-8.574738276,9.51E-05,0.001250751,1.006040074,"50,925",2.902829128,19,1
Q6VN20,RANBP10,1.00E-07,0.046517007,1.00E-07,0.101705108,0.226072066,0.24409339,0.268417066,0.257313047,0.215868072,0.023258553,0.24409339,-0.211918313,0.143014735,-8.483444825,0.000101366,0.001308978,0.933543291,"67,257",2.883067787,8,1
P62330,ARF6,0.049690886,0.058694599,0.087006078,0.043774085,0.149511868,0.141729849,0.145272346,0.167141374,0.179763952,0.054192743,0.149511868,-0.091122447,0.105352636,-8.470185605,0.000102315,0.001317552,0.922958968,"20,082",2.880232124,7,1
O14497,ARID1A,0.076035109,0.106554188,0.102382346,0.122774092,0.192766716,0.178199587,0.201725926,0.19002738,0.176549227,0.104468267,0.19002738,-0.088743468,0.146308168,-8.458521291,0.000103158,0.001322884,0.913636169,"242,045",2.878478183,62,1
P25490,YY1,0.170063899,0.100075525,0.041662091,0.107578836,0.389213263,0.408901714,0.319095138,0.364066597,0.132540347,0.103827181,0.364066597,-0.26547409,0.237582133,-8.413624774,0.000106479,0.001354201,0.877650275,"44,713",2.868317027,8,1
O94822,LTN1,0.091966012,0.094376143,0.111467168,0.098357488,0.1771602,0.21000352,0.165727015,0.197954529,0.186970492,0.096366815,0.186970492,-0.088669613,0.143376509,-8.40985702,0.000106763,0.00135595,0.874622919,"200,552",2.867756367,53,1
Q86U70,LDB1,0.275842699,0.283031429,0.338574654,0.233673881,0.447404391,0.469618981,0.476555323,0.465265643,0.516684357,0.279437064,0.469618981,-0.181930419,0.373745875,-8.388988505,0.000108353,0.001367868,0.857834454,"46,533",2.863955922,8,1
Q9Y653,ADGRG1,3.266806117,3.237777292,3.278054611,3.416310862,4.106053359,4.31171142,3.967987519,3.919147826,3.994419193,3.272430364,3.994419193,-0.77648781,3.687981126,-8.326308516,0.000113294,0.001411743,0.807196205,"77,738",2.850244507,9,1
P48634,PRRC2A,0.221574066,0.218811883,0.2254402,0.218270329,0.297274689,0.294703594,0.263728125,0.28149507,0.286991274,0.220192975,0.286991274,-0.06327625,0.252662244,-8.310228419,0.000114602,0.001421717,0.794153528,"228,863",2.847186874,53,1
