PG.ProteinGroups,PG.Genes
Q15024,EXOSC7
P30049,ATP5F1D
Q9UBB6,NCDN
Q92567,FAM168A
Q9H1E3,NUCKS1
Q9Y237,PIN4
Q5T1R4,HIVEP3
Q5T1V6,DDX59
Q06203,PPAT
Q96RE7,NACC1
P34903,GABRA3
Q96T17,MAP7D2
O60266,ADCY3
Q9NPB6,PARD6A
P20337,RAB3B
Q9BR61,ACBD6
Q6P4A7,SFXN4
P15311,EZR
Q9NX40,OCIAD1
P05067,APP
O15379,HDAC3
Q8IW70,TMEM151B
Q63HN8,RNF213
O75530,EED
Q10570,CPSF1
Q12788,TBL3
Q96CW6,SLC7A6OS
O14880,MGST3
Q02809,PLOD1
Q8TBX8,PIP4K2C
P43686,PSMC4
Q9Y3B2,EXOSC1
Q9H871,RMND5A
Q9Y4X5,ARIH1
Q5TZA2,CROCC
Q8N5X7,EIF4E3
Q86WX3,RPS19BP1
O94772,LY6H
Q8NEF9,SRFBP1
P31153,MAT2A
Q9UPS6,SETD1B
Q6PKG0,LARP1
Q9Y2K2,SIK3
P42345,MTOR
Q9Y6K1,DNMT3A
Q14576,ELAVL3
Q96CB9,NSUN4
P06280,GLA
P05388,RPLP0
Q9UM54,MYO6
Q9BRF8,CPPED1
P54819,AK2
P78348,ASIC1
Q92576,PHF3
Q86VS8,HOOK3
Q9HBR0,SLC38A10
P49585,PCYT1A
Q86W56,PARG
Q9Y6I9,TEX264
Q9ULF5,SLC39A10
Q13404,UBE2V1
Q92917,GPKOW
Q8N5U6,RNF10
Q9Y546,LRRC42
O96011,PEX11B
O14979,HNRNPDL
Q9Y224,RTRAF
Q99471,PFDN5
Q15436,SEC23A
Q8TCY9,URGCP
P41240,CSK
Q9Y4C4,MFHAS1
Q8IYT8,ULK2
Q9H6Z4,RANBP3
P62750,RPL23A
Q9UPZ3,HPS5
Q96ST3,SIN3A
Q14CW9,ATXN7L3
Q9UQR1,ZNF148
O14763,TNFRSF10B
O14802,POLR3A
Q13368,MPP3
Q5BJH7,YIF1B
O75694,NUP155
Q96C19,EFHD2
Q9BZH6,WDR11
Q13310,PABPC4
Q9UBG0,MRC2
Q9BQG2,NUDT12
Q6ZNB6,NFXL1
P26373,RPL13
O95073,FSBP
Q13492,PICALM
Q96IK1,BOD1
Q9NYK5,MRPL39
Q9UHX1,PUF60
Q13825,AUH
Q7L5Y6,DET1
Q9Y673,ALG5
Q9UK41,VPS28
Q12849,GRSF1
Q9Y3E5,PTRH2
Q9H9Z2,LIN28A
Q9NZ09,UBAP1
Q8WUZ0,BCL7C
Q16566,CAMK4
P62258,YWHAE
Q14155,ARHGEF7
Q2M1P5,KIF7
Q9UBN7,HDAC6
Q04917,YWHAH
A0MZ66,SHTN1
Q13191,CBLB
A6NFI3,ZNF316
Q9Y4I1,MYO5A
Q86WJ1,CHD1L
Q96A83,COL26A1
Q8IZY2,ABCA7
Q8N3Y1,FBXW8
P54619,PRKAG1
Q9NZJ7,MTCH1
Q92624,APPBP2
Q9H2B2,SYT4
Q07666,KHDRBS1
Q9HA64,FN3KRP
Q9UQ03,CORO2B
Q8NI27,THOC2
Q13616,CUL1
Q6P3S1,DENND1B
Q14683,SMC1A
P30874,SSTR2
Q9UHI6,DDX20
Q12980,NPRL3
Q3B7T1,EDRF1
P32121,ARRB2
O14641,DVL2
Q7L014,DDX46
Q86U42,PABPN1
Q6P4Q7,CNNM4
O43791,SPOP
Q9H0G5,NSRP1
Q9NXX6,NSMCE4A
Q9UBI1,COMMD3
Q7L985,LINGO2
Q6P1J9,CDC73
Q8N9I0,SYT2
Q86VP3,PACS2
Q86U44,METTL3
Q6UWE0,LRSAM1
Q86VP6,CAND1
P50479,PDLIM4
Q8N3Z3,GTPBP8
Q8WU90,ZC3H15
Q9Y4C5,CHST2
Q5U5X0,LYRM7
Q8N4P2,TTC30B
Q8N5M4,TTC9C
Q9BTY2,FUCA2
Q9ULR0,ISY1
P51817,PRKX
P36897,TGFBR1
Q9Y5M8,SRPRB
Q13617,CUL2
O15145,ARPC3
Q14964,RAB39A
P04198,MYCN
Q14681,KCTD2
Q8NCW6,GALNT11
O75223,GGCT
Q9UFN0,NIPSNAP3A
Q96BM9,ARL8A
Q9P2S5,WRAP73
Q15173,PPP2R5B
Q8TF47,ZFP90
Q9H0X4,FAM234A
P09622,DLD
Q7L8L6,FASTKD5
Q13219,PAPPA
Q5SWX8,ODR4
Q99757,TXN2
P31689,DNAJA1
O15042,U2SURP
O75607,NPM3
Q16401,PSMD5
Q5JTW2,CEP78
O60573,EIF4E2
A2AJT9,BCLAF3
Q9UKK9,NUDT5
P38646,HSPA9
Q8NDY3,ADPRHL1
Q9UPY8,MAPRE3
Q8WZA2,RAPGEF4
P36896,ACVR1B
Q9P278,FNIP2
Q969K3,RNF34
Q53GT1,KLHL22
O00541,PES1
Q92738,USP6NL
Q14919,DRAP1
O75398,DEAF1
Q99081,TCF12
P62424,RPL7A
Q99523,SORT1
Q9NZN8,CNOT2
Q49AR2,C5orf22
Q9BPX5,ARPC5L
Q9UNF1,MAGED2
P61758,VBP1
Q86TA1,MOB3B
Q08499,PDE4D
P20338,RAB4A
O75326,SEMA7A
Q9H2H8,PPIL3
Q9NXV6,CDKN2AIP
Q5VT40,FAM78B
Q9BPY3,FAM118B
O95551,TDP2
P53007,SLC25A1
O60336,MAPKBP1
O15230,LAMA5
P62993,GRB2
Q9BPX3,NCAPG
Q96GD0,PDXP
Q8IXF0,NPAS3
Q9Y4C0,NRXN3
P09493,TPM1
P22392,NME2
Q5T280,SPOUT1
Q9HCS5,EPB41L4A
Q8IVW6,ARID3B
P06132,UROD
Q5TCQ9,MAGI3
Q14183,DOC2A
Q14320,FAM50A
Q8NDT2,RBM15B
Q96N46,TTC14
Q9BSA4,TTYH2
P05060,CHGB
Q9BSH5,HDHD3
P01130,LDLR
Q8NFY4,SEMA6D
Q9P273,TENM3
O75165,DNAJC13
Q9GZQ3,COMMD5
Q9UKG1,APPL1
O95299,NDUFA10
Q16394,EXT1
P04216,THY1
Q14249,ENDOG
Q14554,PDIA5
Q86U86,PBRM1
Q9NQT4,EXOSC5
Q9BQG0,MYBBP1A
P08727,KRT19
O75145,PPFIA3
Q9BTA9,WAC
O75182,SIN3B
Q9H845,ACAD9
Q68D10,SPTY2D1
O43808,SLC25A17
Q8N8K9,KIAA1958
Q86TM6,SYVN1
Q9Y2A7,NCKAP1
Q96IW2,SHD
Q96JG6,VPS50
Q969Y2,GTPBP3
Q92793,CREBBP
P51687,SUOX
Q12981,BNIP1
Q8IWJ2,GCC2
Q3KR37,GRAMD1B
Q9Y2Z9,COQ6
P26012,ITGB8
Q9H898,ZMAT4
Q9UJ04,TSPYL4
Q8TAA9,VANGL1
Q96C12,ARMC5
Q6DN14,MCTP1
O14994,SYN3
Q9NW08,POLR3B
P61026,RAB10
Q8NCJ5,SPRYD3
Q96T51,RUFY1
Q9BW83,IFT27
O75312,ZPR1
Q9HC52,CBX8
Q15652,JMJD1C
Q4ZIN3,TMEM259
Q9UGH3,SLC23A2
P00813,ADA
O95219,SNX4
Q16623,STX1A
Q7Z7L7,ZER1
A1X283,SH3PXD2B
O43809,NUDT21
Q9ULD9,ZNF608
Q9Y217,MTMR6
Q17RY0,CPEB4
P31942,HNRNPH3
P26440,IVD
P26992,CNTFR
O14672,ADAM10
O95104,SCAF4
P25098,GRK2
P62942,FKBP1A
Q7Z7L9,ZSCAN2
Q9NNW5,WDR6
P43155,CRAT
P50552,VASP
P05141,SLC25A5
Q96FV9,THOC1
O00303,EIF3F
Q9UPN4,CEP131
Q9Y697,NFS1
Q9HCK8,CHD8
Q03393,PTS
P58546,MTPN
O00445,SYT5
P52701,MSH6
O43837,IDH3B
Q9NQ86,TRIM36
P09936,UCHL1
P19525,EIF2AK2
Q9Y6X5,ENPP4
P05387,RPLP2
Q7RTP0,NIPA1
Q15293,RCN1
O15060,ZBTB39
P80365,HSD11B2
Q8TB72,PUM2
B7ZAP0,RABGAP1L
O95163,ELP1
Q7Z3K3,POGZ
Q9P2P5,HECW2
Q9BTE6,AARSD1
P46100,ATRX
Q8N474,SFRP1
Q8IVM0,CCDC50
P38919,EIF4A3
Q9H7N4,SCAF1
Q6F5E8,CARMIL2
Q8WXI9,GATAD2B
Q7Z3U7,MON2
Q01650,SLC7A5
O95630,STAMBP
Q8TCG1,CIP2A
Q9P0K1,ADAM22
Q969M3,YIPF5
Q9Y4K3,TRAF6
P07910,HNRNPC
Q7Z5K2,WAPL
O60237,PPP1R12B
Q3L8U1,CHD9
Q4KMP7,TBC1D10B
Q712K3,UBE2R2
Q13442,PDAP1
Q9NPI1,BRD7
Q9Y3P9,RABGAP1
Q5R372,RABGAP1L
Q96AG4,LRRC59
Q641Q2,WASHC2A
Q9BY50,SEC11C
P30622,CLIP1
Q9NY93,DDX56
O14933,UBE2L6
Q12913,PTPRJ
Q13501,SQSTM1
Q99985,SEMA3C
Q969M1,TOMM40L
Q6PJT7,ZC3H14
Q7Z6L0,PRRT2
P46781,RPS9
P27348,YWHAQ
P22061,PCMT1
Q96MG8,PCMTD1
Q86U70,LDB1
Q6PI98,INO80C
Q14686,NCOA6
Q5VUB5,FAM171A1
Q9UBK9,UXT
O75503,CLN5
Q2VPB7,AP5B1
Q9UPN3,MACF1
Q6UXV4,APOOL
Q99549,MPHOSPH8
O94854,KIAA0754
O43765,SGTA
Q8N8R7,ARL14EP
P62277,RPS13
O95347,SMC2
O95373,IPO7
P17026,ZNF22
O60869,EDF1
P14324,FDPS
O60343,TBC1D4
Q9NW75,GPATCH2
Q92636,NSMAF
Q8WUQ7,CACTIN
Q9H0U6,MRPL18
P15586,GNS
Q8TBE9,NANP
P02794,FTH1
Q8TD43,TRPM4
O75147,OBSL1
Q9Y2M5,KLHL20
P22830,FECH
Q9ULL5,PRR12
O75486,SUPT3H
Q9NTZ6,RBM12
Q5BJF6,ODF2
Q14331,FRG1
Q7Z6Z7,HUWE1
Q9UJX2,CDC23
Q6NTE8,MRNIP
Q9H1Z4,WDR13
P63313,TMSB10
Q86X55,CARM1
Q86UU0,BCL9L
Q9H4G0,EPB41L1
O95716,RAB3D
Q08999,RBL2
O43795,MYO1B
O60927,PPP1R11
P20962,PTMS
P07942,LAMB1
O14929,HAT1
Q9NXW2,DNAJB12
Q96RF0,SNX18
O15400,STX7
Q9UHW5,GPN3
Q9P246,STIM2
Q9BXM9,FSD1L
P41219,PRPH
Q8NC44,RETREG2
Q9Y696,CLIC4
Q9H2F5,EPC1
Q96BW1,UPRT
Q9Y4F3,MARF1
Q9NUQ3,TXLNG
Q3LXA3,TKFC
O15067,PFAS
Q9UNA1,ARHGAP26
Q4G0N4,NADK2
Q9GZZ9,UBA5
Q969P0,IGSF8
Q96EP1,CHFR
Q9NPA0,EMC7
Q8IZ73,RPUSD2
Q9UJD0,RIMS3
Q9UQ13,SHOC2
O15143,ARPC1B
Q4KMQ2,ANO6
Q13163,MAP2K5
Q9BRT2,UQCC2
Q6YP21,KYAT3
P00533,EGFR
P51398,DAP3
Q9H8Y8,GORASP2
Q13237,PRKG2
Q5VZL5,ZMYM4
Q96HU1,SGSM3
P51572,BCAP31
Q969F9,HPS3
O43815,STRN
Q9Y678,COPG1
Q9UBQ0,VPS29
Q8IZD0,SAMD14
Q9HBL8,NMRAL1
Q9P2J9,PDP2
O14867,BACH1
A6H8Y1,BDP1
P30825,SLC7A1
Q9C0D6,FHDC1
Q13126,MTAP
Q8IY63,AMOTL1
Q9NX18,SDHAF2
P26374,CHML
Q14814,MEF2D
Q01831,XPC
Q12929,EPS8
Q12906,ILF3
O95278,EPM2A
Q5XUX1,FBXW9
Q05193,DNM1
Q9Y3Q8,TSC22D4
P78504,JAG1
Q96MW1,CCDC43
O15217,GSTA4
P82094,TMF1
O15033,AREL1
Q13033,STRN3
Q9HC62,SENP2
P24928,POLR2A
O75529,TAF5L
Q9H936,SLC25A22
P78563,ADARB1
Q9BYT8,NLN
Q9H501,ESF1
Q8NDN9,RCBTB1
P51948,MNAT1
Q86XT2,VPS37D
P42356,PI4KA
Q8N6T3,ARFGAP1
P29320,EPHA3
Q6ZU65,UBN2
Q9BWL3,C1orf43
Q00537,CDK17
P06733,ENO1
P05771,PRKCB
Q9BVL4,SELENOO
Q9NXG2,THUMPD1
Q16630,CPSF6
Q13216,ERCC8
A6NJ78,METTL15
Q96PV7,FAM193B
Q6P2C8,MED27
Q9UGM6,WARS2
Q13796,SHROOM2
Q14696,MESD
P30039,PBLD
Q13620,CUL4B
Q14849,STARD3
Q13029,PRDM2
P51452,DUSP3
Q8TEA1,NSUN6
Q8WYB5,KAT6B
Q15036,SNX17
O95672,ECEL1
P16671,CD36
Q9BZJ0,CRNKL1
Q12967,RALGDS
P78560,CRADD
O95625,ZBTB11
Q14232,EIF2B1
O43674,NDUFB5
Q96SN8,CDK5RAP2
Q9UJZ1,STOML2
Q9UQL6,HDAC5
P09972,ALDOC
Q9H9B1,EHMT1
Q14149,MORC3
Q93009,USP7
Q15111,PLCL1
Q15029,EFTUD2
P83916,CBX1
P09012,SNRPA
Q8WZA0,LZIC
P41227,NAA10
Q7Z7B1,PIGW
Q9Y3I0,RTCB
Q86XL3,ANKLE2
Q7Z6K5,ARPIN
Q96CW9,NTNG2
Q9H237,PORCN
Q9UP83,COG5
Q13576,IQGAP2
P62304,SNRPE
Q13217,DNAJC3
P00395,MT-CO1
O60524,NEMF
Q15404,RSU1
P62166,NCS1
Q86UE4,MTDH
Q9UPR5,SLC8A2
Q8N0U8,VKORC1L1
O14776,TCERG1
O15013,ARHGEF10
P82675,MRPS5
Q92963,RIT1
O75056,SDC3
P78357,CNTNAP1
Q07866,KLC1
Q96PQ0,SORCS2
Q15397,PUM3
P08574,CYC1
Q15788,NCOA1
P51513,NOVA1
P61163,ACTR1A
Q9Y6B7,AP4B1
Q13769,THOC5
Q13416,ORC2
O75581,LRP6
P00558,PGK1
Q9Y6B6,SAR1B
Q96FC7,PHYHIPL
P28370,SMARCA1
Q16538,GPR162
Q8IWT3,CUL9
Q8N135,LGI4
Q8NCF5,NFATC2IP
Q9BVI0,PHF20
P42285,MTREX
Q9BQ16,SPOCK3
Q6P1X5,TAF2
Q9NS69,TOMM22
P27694,RPA1
Q13158,FADD
Q9UGU0,TCF20
Q9HC96,CAPN10
Q96BN8,OTULIN
Q9C091,GREB1L
Q8TDD1,DDX54
Q9BW27,NUP85
P07205,PGK2
Q9Y5Y5,PEX16
Q6IQ19,CCSAP
Q9BTY7,HGH1
Q9P217,ZSWIM5
P18583,SON
Q9UQ16,DNM3
P61006,RAB8A
P48029,SLC6A8
Q9Y3T6,R3HCC1
Q9BSU1,C16orf70
O15083,ERC2
Q6P1L5,FAM117B
Q9H3S7,PTPN23
Q07021,C1QBP
Q6ZUT9,DENND5B
O43395,PRPF3
Q12756,KIF1A
Q99829,CPNE1
Q8IXT5,RBM12B
O75354,ENTPD6
P22087,FBL
Q96N21,TEPSIN
Q86W42,THOC6
Q4U2R6,MRPL51
Q8N122,RPTOR
O94901,SUN1
Q8N3E9,PLCD3
Q8N157,AHI1
Q96G01,BICD1
O15144,ARPC2
Q00839,HNRNPU
P42568,MLLT3
O76021,RSL1D1
P35237,SERPINB6
Q5TC82,RC3H1
P09497,CLTB
O95714,HERC2
Q9HAS0,C17orf75
Q8N128,FAM177A1
P22626,HNRNPA2B1
Q8IZA0,KIAA0319L
Q66PJ3,ARL6IP4
Q01804,OTUD4
Q08J23,NSUN2
Q9UBF8,PI4KB
Q9P2E3,ZNFX1
Q86UZ6,ZBTB46
Q5TC12,ATPAF1
O75110,ATP9A
P11217,PYGM
Q8N5C6,SRBD1
Q8NEZ3,WDR19
Q96Q04,LMTK3
Q8WWL2,SPIRE2
Q5JPI9,EEF1AKMT2
Q96BX8,MOB3A
Q9ULM3,YEATS2
Q16849,PTPRN
Q9Y314,NOSIP
Q9NRC1,ST7
Q9Y2Z0,SUGT1
Q13308,PTK7
P22670,RFX1
Q96BJ3,AIDA
Q9NRL2,BAZ1A
O95168,NDUFB4
Q8WUA4,GTF3C2
Q96D71,REPS1
Q96TA2,YME1L1
O94779,CNTN5
Q6QNY0,BLOC1S3
O14646,CHD1
Q8N0U4,FAM185A
P49915,GMPS
P08708,RPS17
P43246,MSH2
P18085,ARF4
Q5T4D3,TMTC4
P17017,ZNF14
P62328,TMSB4X
Q9BTE7,DCUN1D5
Q9Y296,TRAPPC4
Q96AY4,TTC28
Q9H5Z1,DHX35
Q8WYP5,AHCTF1
Q9H2M9,RAB3GAP2
Q86V15,CASZ1
Q9UGU5,HMGXB4
P29762,CRABP1
Q14257,RCN2
P24043,LAMA2
Q6Y288,B3GLCT
P42696,RBM34
O43325,LYRM1
O00423,EML1
Q13387,MAPK8IP2
Q92556,ELMO1
Q9HC35,EML4
P54253,ATXN1
Q9UHD9,UBQLN2
Q9Y426,C2CD2
Q13049,TRIM32
P62857,RPS28
Q9Y6N1,COX11
Q16643,DBN1
Q14152,EIF3A
P15822,HIVEP1
P79522,PRR3
P09874,PARP1
Q9HAU0,PLEKHA5
O15294,OGT
Q9H000,MKRN2
P53990,IST1
P10619,CTSA
P49754,VPS41
Q01167,FOXK2
Q4ADV7,RIC1
Q8IY26,PLPP6
Q96HY6,DDRGK1
Q9UHB9,SRP68
Q6PML9,SLC30A9
Q15910,EZH2
P43487,RANBP1
A6NHX0,CASTOR2
O43660,PLRG1
Q9Y259,CHKB
Q9UKV8,AGO2
Q96LZ7,RMDN2
Q5T7V8,GORAB
Q6STE5,SMARCD3
Q5VWZ2,LYPLAL1
Q8WWW0,RASSF5
Q14151,SAFB2
Q86UK7,ZNF598
Q3B820,FAM161A
Q70CQ4,USP31
Q8IUZ0,LRRC49
Q9UL40,ZNF346
Q15025,TNIP1
Q8NDA8,MROH1
P48444,ARCN1
Q14191,WRN
O00189,AP4M1
P82979,SARNP
Q9H2J4,PDCL3
Q12873,CHD3
Q8IUH3,RBM45
Q9Y2L6,FRMD4B
P51991,HNRNPA3
P49848,TAF6
Q13177,PAK2
Q9UNZ2,NSFL1C
P54886,ALDH18A1
P36639,NUDT1
Q05086,UBE3A
Q96P47,AGAP3
P49427,CDC34
O43318,MAP3K7
Q52MB2,CCDC184
P15735,PHKG2
Q99816,TSG101
P59923,ZNF445
Q7Z401,DENND4A
O75564,JRK
Q96F86,EDC3
Q9UBT2,UBA2
Q13905,RAPGEF1
P36507,MAP2K2
P61011,SRP54
A7E2V4,ZSWIM8
Q68E01,INTS3
Q9UBH6,XPR1
P50991,CCT4
Q8WY41,NANOS1
Q13618,CUL3
Q9NT62,ATG3
Q9BV81,EMC6
Q8IXQ4,GPALPP1
Q15833,STXBP2
Q2Y0W8,SLC4A8
Q00577,PURA
Q8WXA3,RUFY2
Q9H5U6,ZCCHC4
Q8IVS2,MCAT
Q9UIK5,TMEFF2
Q9Y221,NIP7
Q8N141,ZFP82
Q96HH4,TMEM169
Q8TB40,ABHD4
Q6ZNW5,GDPGP1
Q5VWQ8,DAB2IP
Q9HB21,PLEKHA1
Q86U38,NOP9
Q6YN16,HSDL2
O95249,GOSR1
Q7Z7M0,MEGF8
Q5T4S7,UBR4
Q5MNZ6,WDR45B
Q7Z5L2,R3HCC1L
O60762,DPM1
P13645,KRT10
P53365,ARFIP2
Q99755,PIP5K1A
Q14185,DOCK1
O94818,NOL4
Q02878,RPL6
Q9NVS2,MRPS18A
P57772,EEFSEC
P16930,FAH
Q9BRL6,SRSF8
Q92844,TANK
Q16512,PKN1
Q9NWY4,HPF1
P50914,RPL14
Q9H7Z6,KAT8
Q96BY7,ATG2B
Q9UPX8,SHANK2
Q8NBI3,DRAXIN
Q9HA38,ZMAT3
P53999,SUB1
Q9H4B0,OSGEPL1
O94855,SEC24D
Q9Y6M9,NDUFB9
O00330,PDHX
Q9UEG4,ZNF629
O43299,AP5Z1
P11362,FGFR1
P06730,EIF4E
Q8N1F7,NUP93
P08069,IGF1R
P34932,HSPA4
O00479,HMGN4
Q9UKA4,AKAP11
Q96I34,PPP1R16A
Q8N3X6,LCORL
Q96RV3,PCNX1
Q7L3T8,PARS2
P51571,SSR4
Q15233,NONO
Q9UKU7,ACAD8
Q7L1T6,CYB5R4
Q9H0F6,SHARPIN
Q9UKY4,POMT2
P49441,INPP1
Q9Y4C1,KDM3A
Q9NZC3,GDE1
Q9NWU1,OXSM
P49590,HARS2
P40227,CCT6A
Q15070,OXA1L
P46782,RPS5
Q9H2A9,CHST8
P31152,MAPK4
P11388,TOP2A
Q96BZ9,TBC1D20
O15297,PPM1D
Q9H1K0,RBSN
O15254,ACOX3
P17612,PRKACA
Q8NHP8,PLBD2
P54259,ATN1
Q9C0H9,SRCIN1
Q9NX74,DUS2
P30419,NMT1
Q13136,PPFIA1
Q96EQ0,SGTB
Q99808,SLC29A1
Q99614,TTC1
P61221,ABCE1
Q9NUQ6,SPATS2L
Q3ZCW2,LGALSL
Q9Y3A5,SBDS
Q06278,AOX1
Q8N3J6,CADM2
Q13131,PRKAA1
Q9Y6D5,ARFGEF2
Q9UF56,FBXL17
Q9Y4W6,AFG3L2
Q8IWQ3,BRSK2
Q8NDH6,ICA1L
Q8N2K1,UBE2J2
Q8NCP5,ZBTB44
Q96GX9,APIP
P25788,PSMA3
Q9Y276,BCS1L
P00492,HPRT1
Q12789,GTF3C1
P37837,TALDO1
Q9NUQ8,ABCF3
P10606,COX5B
P23786,CPT2
Q86V97,KBTBD6
O14832,PHYH
P34913,EPHX2
Q9H819,DNAJC18
Q9BPU6,DPYSL5
P0DPB6,POLR1D
Q92896,GLG1
O94955,RHOBTB3
Q9UK45,LSM7
Q9NUP9,LIN7C
Q8IWE4,DCUN1D3
P52926,HMGA2
P05937,CALB1
O14920,IKBKB
Q9BXI6,TBC1D10A
Q5T3J3,LRIF1
Q00169,PITPNA
A9UHW6,MIF4GD
O60476,MAN1A2
Q9P2D3,HEATR5B
Q9H4E7,DEF6
O60831,PRAF2
P43243,MATR3
Q9NSI6,BRWD1
Q8TBN0,RAB3IL1
P51157,RAB28
P57740,NUP107
Q9Y5Z4,HEBP2
Q8NE01,CNNM3
Q96B26,EXOSC8
O75129,ASTN2
Q8TCU5,GRIN3A
Q96I51,RCC1L
Q8N1I0,DOCK4
Q15369,ELOC
Q9H1Y0,ATG5
Q8NFV4,ABHD11
Q9NUI1,DECR2
Q9UJU6,DBNL
Q15906,VPS72
P62508,ESRRG
Q8NCM8,DYNC2H1
Q96H79,ZC3HAV1L
Q6RI45,BRWD3
O43529,CHST10
P15907,ST6GAL1
P49790,NUP153
Q9UNS2,COPS3
Q86V88,MDP1
Q96LD1,SGCZ
Q9H3U1,UNC45A
O60551,NMT2
Q9H706,GAREM1
Q96IV0,NGLY1
Q9BYB4,GNB1L
Q9BQ24,ZFYVE21
Q9HCC0,MCCC2
Q13023,AKAP6
Q9NQX7,ITM2C
O60443,GSDME
Q9NYF8,BCLAF1
Q8TD16,BICD2
Q96FT7,ASIC4
O75691,UTP20
Q68DH5,LMBRD2
O60508,CDC40
O95881,TXNDC12
Q92625,ANKS1A
Q9Y5Y0,FLVCR1
Q8NCA5,FAM98A
O75351,VPS4B
Q9NTJ5,SACM1L
O95817,BAG3
O43852,CALU
P04066,FUCA1
Q96AP0,ACD
Q9BZZ5,API5
O00116,AGPS
Q96JH7,VCPIP1
Q9P1F3,ABRACL
Q8NA03,FSIP1
P14543,NID1
Q08397,LOXL1
Q8IVD9,NUDCD3
Q9H269,VPS16
Q13247,SRSF6
Q9BUZ4,TRAF4
Q9UM13,ANAPC10
Q9H0R4,HDHD2
Q9H2H0,CXXC4
P61587,RND3
Q15208,STK38
Q8N475,FSTL5
P40926,MDH2
Q5TFE4,NT5DC1
Q3SYG4,BBS9
Q9BRK4,LZTS2
Q9H0V1,TMEM168
P99999,CYCS
Q504Q3,PAN2
P49354,FNTA
O96001,PPP1R17
Q6NSZ9,ZSCAN25
O95873,C6orf47
Q6PD62,CTR9
Q8WWK9,CKAP2
Q9Y6Q9,NCOA3
Q92620,DHX38
Q9Y263,PLAA
Q8N137,CNTROB
Q9NSB8,HOMER2
P46821,MAP1B
P27824,CANX
Q00610,CLTC
A8K855,EFCAB7
Q7RTS9,DYM
Q9H2J7,SLC6A15
P29144,TPP2
Q5SNT2,TMEM201
O15078,CEP290
Q15818,NPTX1
O95182,NDUFA7
P53675,CLTCL1
Q7L099,RUFY3
Q96N67,DOCK7
O14530,TXNDC9
P55209,NAP1L1
O75582,RPS6KA5
Q9BT22,ALG1
Q16576,RBBP7
A6NKD9,CCDC85C
Q9UNW1,MINPP1
Q9BQC3,DPH2
Q8IUD2,ERC1
P35241,RDX
P22695,UQCRC2
Q8TEV9,SMCR8
P46734,MAP2K3
P04075,ALDOA
O43390,HNRNPR
Q13084,MRPL28
Q8WVM8,SCFD1
Q9Y230,RUVBL2
Q9UPW5,AGTPBP1
Q96KM6,ZNF512B
Q9Y5E7,PCDHB2
Q9NXE4,SMPD4
Q9BRQ6,CHCHD6
Q9Y320,TMX2
Q9C0C7,AMBRA1
Q99504,EYA3
Q9NV88,INTS9
Q9P227,ARHGAP23
Q9NZL9,MAT2B
Q9UGT4,SUSD2
Q9ULW0,TPX2
P34897,SHMT2
Q3T8J9,GON4L
Q5JPF3,ANKRD36C
P63010,AP2B1
Q9H6F5,CCDC86
Q86TW2,ADCK1
Q9UIG0,BAZ1B
O96013,PAK4
P11171,EPB41
Q9BT78,COPS4
Q12955,ANK3
Q6PFW1,PPIP5K1
Q86SQ0,PHLDB2
O94973,AP2A2
O43493,TGOLN2
Q9NQR7,CCDC177
Q9UPQ0,LIMCH1
O60784,TOM1
Q9H3Q1,CDC42EP4
Q96S06,LMF1
Q3MIX3,ADCK5
Q6P1N9,TATDN1
P52746,ZNF142
Q5THJ4,VPS13D
Q9BQF6,SENP7
P17480,UBTF
Q13190,STX5
Q9UL25,RAB21
Q7Z2Z2,EFL1
O60942,RNGTT
Q15637,SF1
O00193,SMAP
Q96JJ7,TMX3
Q9P2X3,IMPACT
Q9BTT0,ANP32E
Q5T2E6,ARMH3
Q6RFH5,WDR74
Q9NVP1,DDX18
Q6VN20,RANBP10
Q01415,GALK2
A7MBM2,DISP2
Q9C0G0,ZNF407
P49418,AMPH
Q6V1X1,DPP8
Q9Y4G6,TLN2
Q9NPL8,TIMMDC1
Q9Y2G3,ATP11B
Q6UXK5,LRRN1
P51114,FXR1
Q8IUH4,ZDHHC13
Q9H1A4,ANAPC1
Q9H3R0,KDM4C
O75787,ATP6AP2
Q96A65,EXOC4
Q92777,SYN2
O75155,CAND2
O95707,POP4
Q96NB3,ZNF830
Q9ULK6,RNF150
P14174,MIF
Q9P1Z3,HCN3
Q9Y5L0,TNPO3
P30041,PRDX6
O14818,PSMA7
Q9UBS5,GABBR1
Q8WX92,NELFB
P82912,MRPS11
Q17R98,ZNF827
P26885,FKBP2
Q8TAQ2,SMARCC2
Q03468,ERCC6
Q6N021,TET2
Q9Y3Z3,SAMHD1
Q9P2B2,PTGFRN
P52758,RIDA
Q6NYC8,PPP1R18
Q50LG9,LRRC24
Q01970,PLCB3
Q9BYD3,MRPL4
Q9HCK1,ZDBF2
O43670,ZNF207
P37275,ZEB1
O75038,PLCH2
Q92974,ARHGEF2
Q16828,DUSP6
Q9NV79,PCMTD2
P54725,RAD23A
Q71SY5,MED25
Q13017,ARHGAP5
P52597,HNRNPF
P57058,HUNK
Q8IXS6,PALM2
P31327,CPS1
P16157,ANK1
Q9Y5S2,CDC42BPB
Q6Y2X3,DNAJC14
Q6IQ55,TTBK2
A2RU67,FAM234B
Q9H9G7,AGO3
O00519,FAAH
Q6ZNA1,ZNF836
P18077,RPL35A
P98194,ATP2C1
Q8N3C0,ASCC3
Q96DW6,SLC25A38
